15-163701,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59779223.jpg?fitin=700:700,61600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーYAM エクシーガ 2.5 NA 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
YA5 エクシーガ 2.0 ターボボディ型式 ： DBA-YA5エンジン型式 ： EJ20年式 ： H22.08～ YA9 エクシーガ 2.5 NAボディ型式 ： DBA-YA9エンジン型式 ： EJ25年式 ： H21.12～H24.07 YA4 エクシーガ 2.0 NA 2WDボディ型式 ： DBA-YA4エンジン型式 ： EJ20年式 ： H20.06～H24.07 YAM エクシーガ 2.5 NA 4WDボディ型式 ： DBA-YAMエンジン型式 ： FB25年式 ： H24.07～ 
<BR><BR>
特記事項

リヤバンパースカート（スタンダード）「E5617YC000##」装着車共通",FGK（フジツボ）オーソライズＳマフラーYAM エクシーガ 2.5 NA 4WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーYAM エクシーガ 2.5 NA 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーYAM エクシーガ 2.5 NA 4WD[rn]
15-163762,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59542675.jpg?fitin=700:700,30688.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーMH23S ワゴンR NA FXリミテッド 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"HA25S アルト セダン NA 2WDボディ型式 ： DBA-HA25Sエンジン型式 ： K6A年式 ： H21.12～ MH23S ワゴンR NA FXリミテッド 2WDボディ型式 ： DBA-MH23Sエンジン型式 ： K6A年式 ： H20.09～ 

<BR>

特記事項

FXリミテッド専用",FGK（フジツボ）オーソライズKマフラーMH23S ワゴンR NA FXリミテッド 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーMH23S ワゴンR NA FXリミテッド 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーMH23S ワゴンR NA FXリミテッド 2WD[rn]
15-163763,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58482856.jpg?fitin=700:700,30688.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーGB3 フリード 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
GB3 フリード 1.5 2WDボディ型式 ： DBA-GB3エンジン型式 ： L15A年式 ： H20.05～<BR> GB3 フリード スパイク 1.5 2WD エアロ付ボディ型式 ： DBA-GB3エンジン型式 ： L15A年式 ： H22.07～<BR> GP3 フリード ハイブリッド 1.5 2WDボディ型式 ： DAA-GP3エンジン型式 ： LEA-MF6年式 ： H23.10～ <BR>GP3 フリード スパイク ハイブリッド 1.5 2WDボディ型式 ： DAA-GP3エンジン型式 ： LEA-MF6年式 ： H23.10～ 

<BR><BR>
エアロフォルムバンパー装着車共通 
フリードスパイク Gエアロ/GIエアロ共通",FGK（フジツボ）オーソライズＳマフラーGB3 フリード 1.5 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーGB3 フリード 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーGB3 フリード 1.5 2WD[rn]
15-163764,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58720551.jpg?fitin=700:700,43120.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーZC31S スイフト スポーツ,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR><BR>
ZC31S スイフト スポーツボディ型式 ： CBA-ZC31Sエンジン型式 ： M16A年式 ： H17.09～H22.08 <BR><BR>

特記事項

<BR><BR>

備考
<BR><BR>
 ノーマルの低回転域での扱いやすさを活かしたまま、中高回転域のパワー&トルクアップを実現。スポーツコンパクトらしい心地よいスポーティーエグゾーストサウンドを奏でる。",FGK（フジツボ）オーソライズＲマフラーZC31S スイフト スポーツ：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーZC31S スイフト スポーツ,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーZC31S スイフト スポーツ[rn]
15-163765,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img60950363.jpg?fitin=700:700,34720.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーCY6A ギャラン フォルティス 1.8 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR><BR>

CY6A ギャラン フォルティス 1.8 2WD
    ボディ型式 ： DBA-CY6A
    エンジン型式 ： 4J10
    年式 ： H23.10～",FGK（フジツボ）オーソライズＳマフラーCY6A ギャラン フォルティス 1.8 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーCY6A ギャラン フォルティス 1.8 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーCY6A ギャラン フォルティス 1.8 2WD[rn]
15-163766,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58636491.jpg?fitin=700:700,26880.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーNF15 ジューク 1.6 ターボ 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"NF15 ジューク 1.6 ターボ 4WDボディ型式 ： CBA-NF15エンジン型式 ： MR16DDT年式 ： H22.11～ 

<BR><BR>


<BR>特記事項

<BR>",FGK（フジツボ）オーソライズＳマフラーNF15 ジューク 1.6 ターボ 4WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーNF15 ジューク 1.6 ターボ 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーNF15 ジューク 1.6 ターボ 4WD[rn]
15-163767,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58686580.jpg?fitin=700:700,67200.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズRMマフラーCZ4A ランサーエボリューション Ｘ AT,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
CZ4A ランサーエボリューション Ｘ MTボディ型式 ： ＣＢＡ-ＣＺ4Ａエンジン型式 ： 4Ｂ11年式 ： H19.10～<BR><BR> CZ4A ランサーエボリューション Ｘ ATボディ型式 ： ＣＢＡ-ＣＺ4Ａエンジン型式 ： 4Ｂ11年式 ： H19.11～ <BR><BR>
特記事項

<BR>
5MT、6速TC-SST共通",FGK（フジツボ）オーソライズRMマフラーCZ4A ランサーエボリューション Ｘ AT：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズRMマフラーCZ4A ランサーエボリューション Ｘ AT,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズRMマフラーCZ4A ランサーエボリューション Ｘ AT[rn]
15-163768,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58475243.jpg?fitin=700:700,53760.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーCV5W デリカ D:5 2.4 2WD・4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
CV5W デリカ D:5 2.4 2WD・4WDボディ型式 ： DBA-CV5Wエンジン型式 ： 4B12年式 ： H19.01～ CV5W デリカ D:5 ローデスト 2.4 2WD・4WDボディ型式 ： DBA-CV5Wエンジン型式 ： 4B12年式 ： H19.05～ CV4W デリカ D:5 2.0 2WDボディ型式 ： DBA-CV4Wエンジン型式 ： 4B11年式 ： H19.05～ CV4W デリカ D:5 ローデスト 2.0 2WDボディ型式 ： DBA-CV4Wエンジン型式 ： 4B11年式 ： H19.05～ CV2W デリカ D:5 2.0 2WDボディ型式 ： DBA-CV2Wエンジン型式 ： 4J11年式 ： H23.12～",FGK（フジツボ）オーソライズＳマフラーCV5W デリカ D:5 2.4 2WD・4WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーCV5W デリカ D:5 2.4 2WD・4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーCV5W デリカ D:5 2.4 2WD・4WD[rn]
15-163769,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58469765.jpg?fitin=700:700,33600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーRM1 CR-V 2.0 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種

RM1 CR-V 2.0 2WDボディ型式 ： DBA-RM1エンジン型式 ： R20A年式 ： H23.12～",FGK（フジツボ）オーソライズＳマフラーRM1 CR-V 2.0 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーRM1 CR-V 2.0 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーRM1 CR-V 2.0 2WD[rn]
15-163770,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59417134.jpg?fitin=700:700,25088.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーL175S ムーヴ カスタム ＮＡ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>L575A ピクシス スペース カスタム ターボ 2WDボディ型式 ： CBA-L575Aエンジン型式 ： KF年式 ： H23.09～H24.04 L455F ルクラ カスタム ターボ 2WDボディ型式 ： CBA-L455Fエンジン型式 ： KF-DET,KF年式 ： H22.04～H24.05 L375S タント カスタム NA 2WDボディ型式 ： DBA-L375Sエンジン型式 ： KF-VE年式 ： H19.12～H23.06 L455S タント エグゼ カスタム ターボ 2WDボディ型式 ： CBA-L455Sエンジン型式 ： KF-DET,KF年式 ： H21.12～H24.05 L375S タント カスタム ターボ 2WDボディ型式 ： CBA,DBA-L375Sエンジン型式 ： KF-DET,KF年式 ： H19.12～ L175S ムーヴ カスタム ターボ 2WDボディ型式 ： CBA-L175Sエンジン型式 ： KF-DET年式 ： H18.10～H22.12 L175S ムーヴ カスタム ＮＡ 2WDボディ型式 ： DBA-L175Sエンジン型式 ： KF-VE年式 ： H18.10～H22.12 L575S ムーヴ コンテ カスタム ターボ 2WDボディ型式 ： CBA-L575Sエンジン型式 ： KF-DET,KF年式 ： H20.08～H24.04 L575S ムーヴ コンテ カスタム NA 2WDボディ型式 ： DBA-L575Sエンジン型式 ： KF-VE年式 ： H20.08～H23.06<BR><BR>特記事項

<BR>

CVT車、AT車共通、カスタム専用",FGK（フジツボ）オーソライズKマフラーL175S ムーヴ カスタム ＮＡ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーL175S ムーヴ カスタム ＮＡ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーL175S ムーヴ カスタム ＮＡ 2WD[rn]
15-163771,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58705605.jpg?fitin=700:700,39200.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＥマフラーHFC26 セレナ ハイウェイスター S-ハイブリッド,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
HFC26 セレナ ハイウェイスター S-ハイブリッドボディ型式 ： DAA-HFC26エンジン型式 ： MR20DD年式 ： H24.08～

<BR><BR>
特記事項

<BR>
ハイブリッド専用",FGK（フジツボ）オーソライズＥマフラーHFC26 セレナ ハイウェイスター S-ハイブリッド：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＥマフラーHFC26 セレナ ハイウェイスター S-ハイブリッド,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＥマフラーHFC26 セレナ ハイウェイスター S-ハイブリッド[rn]
15-163772,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58686430.jpg?fitin=700:700,53200.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズRMマフラーFD2 シビック タイプR,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
FD2 シビック タイプRボディ型式 ： ABA-FD2エンジン型式 ： K20A年式 ： H19.03～

<BR><BR>
特記事項

<BR>",FGK（フジツボ）オーソライズRMマフラーFD2 シビック タイプR：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズRMマフラーFD2 シビック タイプR,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズRMマフラーFD2 シビック タイプR[rn]
15-163773,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59305807.jpg?fitin=700:700,33600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーH82W eKワゴン 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>H92W オッティ NA 2WDボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H18.10～H20.09 H92W オッティ NA 4WDボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H18.10～H20.09 H92W オッティ NA 2WD マイナー後ボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H20.09～H20.12 H92W オッティ NA 4WD マイナー後ボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H20.09～H20.12 H82W eKワゴン 2WDボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H18.09～H20.08 H82W eKワゴン 4WDボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H18.09～H20.08 H82W ekワゴン 2WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.08～H20.12 H82W ekワゴン 4WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.08～H20.12 H82W ekワゴン 2WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.12～ H82W ekワゴン 4WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.12～  <BR><BR>特記事項

<BR>2WD、4WD共通 
4AT車、5MT車共通",FGK（フジツボ）オーソライズKマフラーH82W eKワゴン 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーH82W eKワゴン 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーH82W eKワゴン 2WD[rn]
15-163774,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58717664.jpg?fitin=700:700,36400.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーDE3FS デミオ 1.3 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR><BR>

DE5FS デミオ 1.5 2WDボディ型式 ： DBA-DE5FSエンジン型式 ： ZY-VE年式 ： H19.07～ <BR><BR>DE3FS デミオ 1.3 2WDボディ型式 ： DBA-DE3FSエンジン型式 ： ZJ-VE,ZJ-VEM年式 ： H19.07～ 
<BR><BR>

特記事項

<BR><BR>DE5FS(1.5)CVT車・5MT車 共通 
<BR><BR>DE3FS(1.3)CVT車・AT車 共通



<BR><BR>
備考
<BR><BR>
 詳細データはDE5FS(1.5)のもの",FGK（フジツボ）オーソライズＲマフラーDE3FS デミオ 1.3 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーDE3FS デミオ 1.3 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーDE3FS デミオ 1.3 2WD[rn]
15-163775,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59416991.jpg?fitin=700:700,30688.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーML21S ルークス ハイウェイスター NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>ML21S ルークス ハイウェイスター NA 2WDボディ型式 ： DBA-ML21Sエンジン型式 ： K6A年式 ： H21.12～H25.03 MK21S パレット SW NA 2WDボディ型式 ： DBA-MK21Sエンジン型式 ： K6A年式 ： H21.09～H25.03 <BR><BR>特記事項

<BR>",FGK（フジツボ）オーソライズKマフラーML21S ルークス ハイウェイスター NA 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーML21S ルークス ハイウェイスター NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーML21S ルークス ハイウェイスター NA 2WD[rn]
15-163776,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59275980.jpg?fitin=700:700,30800.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーGJ3 インプレッサ G4 1.6 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
GJ3 インプレッサ G4 1.6 4WDボディ型式 ： DBA-GJ3エンジン型式 ： FB16年式 ： H23.12～  <BR><BR>
特記事項

<BR>
CVT車専用",FGK（フジツボ）オーソライズＳマフラーGJ3 インプレッサ G4 1.6 4WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーGJ3 インプレッサ G4 1.6 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーGJ3 インプレッサ G4 1.6 4WD[rn]
15-163777,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58638286.jpg?fitin=700:700,35840.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーDE5FS デミオ 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"DE5FS デミオ 1.5 2WDボディ型式 ： DBA-DE5FSエンジン型式 ： ZY-VE年式 ： H19.07～

<BR><BR> DE3FS デミオ 1.3 2WDボディ型式 ： DBA-DE3FSエンジン型式 ： ZJ-VE,ZJ-VEM年式 ： H19.07～ 
<BR><BR>

<BR>特記事項

<BR>

DE5FS（1.5）CVT車/MT車 共通 
<BR>
DE3FS（1.3）CVT車/AT車/MT車 共通

<BR>
備考

詳細データは DE5FS（1.5）のもの",FGK（フジツボ）オーソライズＳマフラーDE5FS デミオ 1.5 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーDE5FS デミオ 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーDE5FS デミオ 1.5 2WD[rn]
15-163778,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58649225.jpg?fitin=700:700,47040.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲMマフラーGE6 フィット 1.3 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR>ディーラーオプション（スポーツネオ）リアロアースカート装着車共通 
CVT車専用

<BR><BR>

特記事項
<BR>
 
RS専用 
CVT車専用
<BR>

備考
規定の回転数に達しない為、近接排気騒音は3950rpmにて測定",FGK（フジツボ）オーソライズＲMマフラーGE6 フィット 1.3 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲMマフラーGE6 フィット 1.3 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲMマフラーGE6 フィット 1.3 2WD[rn]
15-163779,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58635253.jpg?fitin=700:700,36400.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーZVW41W プリウスα 1.8 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"ZVW41W プリウスα 1.8 2WDボディ型式 ： DAA-ZVW41Wエンジン型式 ： 2ZR-FXE年式 ： H23.05～
<BR><BR>
ZVW40W プリウスα 1.8 2WDボディ型式 ： DAA-ZVW40Wエンジン型式 ： 2ZR-FXE年式 ： H23.05～ 

<BR>特記事項

<BR>5人乗り、7人乗り 共通 
 
<BR><BR>
ディーラーオプション　モデリスタ　リヤスカート（D2641-34210-※※）装着車 共通",FGK（フジツボ）オーソライズＳマフラーZVW41W プリウスα 1.8 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーZVW41W プリウスα 1.8 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーZVW41W プリウスα 1.8 2WD[rn]
15-163780,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img60581080.jpg?fitin=700:700,87360.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＶマフラーZC6 BRZ 2.0,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
ZN6 86 2.0ボディ型式 ： DBA-ZN6エンジン型式 ： FA20年式 ： H24.04～ ZC6 BRZ 2.0ボディ型式 ： DBA-ZC6エンジン型式 ： FA20年式 ： H24.03～ 
 
<BR><BR>
特記事項

特記事項
AT/MT共通 
 右側シングル出し
 

備考
詳細データは ZN6 AT車のもの 

 パワーデータはバルブ開のデータです。 
 音量データはバルブ閉の状態です。 
 （バルブ開の参考音量：近接-94dB、3000rpm-78dB、5000rpm-88dB、4000&#12316;6000rpmレスポンス-101dB） 

 純正バンパーのマフラー開口部（助手席側）をドレスアップする、オプションバンパーカバー（073-23112）がオススメ。 
。",FGK（フジツボ）オーソライズＶマフラーZC6 BRZ 2.0：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＶマフラーZC6 BRZ 2.0,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＶマフラーZC6 BRZ 2.0[rn]
15-163781,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58628646.jpg?fitin=700:700,35280.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーE12 ノート 1.2 NA・スーパーチャージャー 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
E12 ノート 1.2 NA・スーパーチャージャー 2WDボディ型式 ： DBA-E12エンジン型式 ： HR12DE・HR12DDR年式 ： H24.09～ 

<BR><BR>
特記事項

<BR>NA・スーパーチャージャー共通",FGK（フジツボ）オーソライズＳマフラーE12 ノート 1.2 NA・スーパーチャージャー 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーE12 ノート 1.2 NA・スーパーチャージャー 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーE12 ノート 1.2 NA・スーパーチャージャー 2WD[rn]
