15-16201,http://tshop.r10s.jp/dtc/cabinet/2013022509/4904550612460.jpg?fitin=700:700,579.2000,,家電 > 住宅設備家電 > その他住宅設備家電,東芝 換気扇交換用外気清浄フィルター F-1C (F1C),　,,東芝 換気扇交換用外気清浄フィルター F-1C (F1C)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhone東芝 換気扇交換用外気清浄フィルター F-1C (F1C),　。東芝 換気扇交換用外気清浄フィルター F-1C (F1C)[rn]
15-16261,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_072/4961310118488_ll.jpg?fitin=700:700,77592.0000,,TV・オーディオ・カメラ > オーディオ > その他,【送料無料】オーディオテクニカ 空芯MC型(デュアルムービングコイル)ステレオカートリッジ AT-ART7 [ATART7],,□商品説明<br>●50周年記念モデル AT50ANV の基本設計を踏襲し、細部を磨き上げた空芯MC型カートリッジ。<br>●振動系の構成材として優れた特性を備えた液晶ポリマー製アーマチュア採用。<br>●新設計磁気回路の採用により、空芯MC型の弱点といわれていた中低域の再生能力と帯域バランスを改善。<br>●音楽信号を高精度で読み取る特殊ラインコンタクト針とφ0.26mmソリッドボロンカンチレバー。<br>●アルミニウム削り出しベースを採用。不要な寄生共振を抑えるハイブリッドボディ。<br>□商品仕様<br>●出力電圧:0.12mV(1kHz、5cm/sec.)<br>●チャンネルセパレーション:30dB(1kHz)<br>●出力バランス:0.5dB(1kHz)<br>●針圧:1.6～2.0g(1.8g標準)<br>●コイルインピーダンス:12Ω(1kHz)<br>●直流抵抗:12Ω<br>●負荷抵抗:100Ω以上(ヘッドアンプ接続時)<br>●コイルインダクタンス:8μH(1kHz)<br>●スタチックコンプライアンス:35×10-6cm/dyne<br>●ダイナミックコンプライアンス:10×10-6cm/dyne(100Hz)<br>●針先形状:特殊ラインコンタクト<br>●カンチレバー:φ0.26mmソリッドボロン<br>●垂直トラッキング角:23°<br>●外形寸法:H17.3×W17.0×D25.6mm<br>●パッケージ寸法:W4.8×H10.5×D10.5cm<br>●質量:8.5g<br>●付属品:非磁性体ドライバー×1、ワッシャー×2、プロテクター×1、カートリッジ取り付けビス 12mm×2、18mm×2、ナット×2、ブラシ×1、PCOCCリード線セット×1,【送料無料】オーディオテクニカ 空芯MC型(デュアルムービングコイル)ステレオカートリッジ AT-ART7 [ATART7]：エディオン　楽天市場店,【送料無料】オーディオテクニカ 空芯MC型(デュアルムービングコイル)ステレオカートリッジ AT-ART7 [ATART7],【送料無料】オーディオテクニカ 空芯MC型(デュアルムービングコイル)ステレオカートリッジ AT-ART7 [ATART7][rn]
15-16262,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_072/4961310120269_ll.jpg?fitin=700:700,3984.0000,,TV・オーディオ・カメラ > オーディオ > その他,【送料無料】オーディオテクニカ AT5V用カートリッジ交換針 インディゴブルー ATN5V [ATN5V],,□商品説明<br>●針交換はスタイラスノブを抜き差しするだけで簡単に行えます。<br>●※スタイラスノブは奥まで確実に取り付けてください。<br>●※交換針はデリケートです。交換を行う以外は脱着しないでください。<br>□商品仕様<br>●対応機種:AT5V<br>●針先形状:接合丸針0.6mil<br>●針圧:1.8～2.2g(2.0g標準)<br>●パッケージ寸法:W4.3×H2.0×D4.1cm,【送料無料】オーディオテクニカ AT5V用カートリッジ交換針 インディゴブルー ATN5V [ATN5V]：エディオン　楽天市場店,【送料無料】オーディオテクニカ AT5V用カートリッジ交換針 インディゴブルー ATN5V [ATN5V],【送料無料】オーディオテクニカ AT5V用カートリッジ交換針 インディゴブルー ATN5V [ATN5V][rn]
15-16263,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_073/4961310128968_ll.jpg?fitin=700:700,73512.0000,,TV・オーディオ・カメラ > オーディオ > その他,【送料無料】オーディオテクニカ MC型ステレオカートリッジ AT33SA [AT33SA],,□商品説明<br>●シバタ針搭載MCカートリッジ。<br>●改良型ボロン無垢テーパーカンチレバーと振動系の軽量化。<br>●磁気エネルギーを飛躍的に高めたネオジウムマグネットとパーメンジュールヨーク。<br>●コイルにPCOCC採用。<br>●高セパレーション、ワイドレスポンスのデュアルムービングコイル。<br>●剛体化設計に徹した強靭なボディ。<br>□商品仕様<br>●型式：MC型<br>●再生周波数範囲：15 ～ 50000Hz<br>●出力電圧：0.4mV（1kHz、5cm/sec.）<br>●チャンネルセパレーション：30dB（1kHz）<br>●出力バランス：0.5dB（1kHz）<br>●針圧：1.8 ～ 2.2g（2.0g標準）<br>●コイルインピーダンス：10Ω（1kHz）<br>●直流抵抗：10Ω<br>●負荷抵抗：100Ω以上（ヘッドアンプ接続時）<br>●コイルインダクタンス：22μH（1kHz）<br>●スタチックコンプライアンス：40×10－6cm/dyne<br>●ダイナミックコンプライアンス：10×10－6cm/dyne（100Hz）<br>●針先形状：シバタ<br>●カンチレバー：ボロン無垢テーパー<br>●垂直トラッキング角：23°<br>●外形寸法：H16×W16.6×L26.5mm<br>●質量：6.9g<br>●付属品：非磁性体ドライバー×1、ワッシャー×2、プロテクター×1、カートリッジ取り付けビス 13mm×2、19mm×2、ナット×2、ブラシ×1、PCOCCリード線セット×1,【送料無料】オーディオテクニカ MC型ステレオカートリッジ AT33SA [AT33SA]：エディオン　楽天市場店,【送料無料】オーディオテクニカ MC型ステレオカートリッジ AT33SA [AT33SA],【送料無料】オーディオテクニカ MC型ステレオカートリッジ AT33SA [AT33SA][rn]
15-16264,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_056/4947153000487_ll.jpg?fitin=700:700,2728.0000,,TV・オーディオ・カメラ > オーディオ > その他,タオック スパイク用プレート(4個1組) ステンレス PTS-N [PTSN],,□商品説明<br>●スパイク状の脚部の下に敷いて床を傷つけるのを防ぎます。<br>□商品仕様<br>●寸法：直径35×高さ5mm<br>●重量：35g/1個<br>●材質：ステンレス,タオック スパイク用プレート(4個1組) ステンレス PTS-N [PTSN]：エディオン　楽天市場店,タオック スパイク用プレート(4個1組) ステンレス PTS-N [PTSN],タオック スパイク用プレート(4個1組) ステンレス PTS-N [PTSN][rn]
15-16265,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_072/4961310006501_ll.jpg?fitin=700:700,176.0000,,TV・オーディオ・カメラ > オーディオ > その他,オーディオテクニカ メンボウ AC200 [AC200],,,オーディオテクニカ メンボウ AC200 [AC200]：エディオン　楽天市場店,オーディオテクニカ メンボウ AC200 [AC200],オーディオテクニカ メンボウ AC200 [AC200][rn]
15-16266,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_056/4947153000500_ll.jpg?fitin=700:700,5640.0000,,TV・オーディオ・カメラ > オーディオ > その他,【送料無料】タオック グラデーション鋳鉄インシュレーター(8個1組) マットブラック TITE-13GS [TITE13GS],,□商品説明<br>●スピーカーだけでなく、様々なAV機器の「制振・整振」にご活用頂けます。<br>□商品仕様<br>●寸法：直径25×高さ10mm<br>●重量：30g/1個<br>●対応荷重：5～15Kg(4個1組),【送料無料】タオック グラデーション鋳鉄インシュレーター(8個1組) マットブラック TITE-13GS [TITE13GS]：エディオン　楽天市場店,【送料無料】タオック グラデーション鋳鉄インシュレーター(8個1組) マットブラック TITE-13GS [TITE13GS],【送料無料】タオック グラデーション鋳鉄インシュレーター(8個1組) マットブラック TITE-13GS [TITE13GS][rn]
15-16267,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_144/4548736042889_ll.jpg?fitin=700:700,1192.0000,,TV・オーディオ・カメラ > オーディオ > その他,SONY トリプルコンフォートイヤーピース(Lサイズ・4個入り) EP-TC50L [EPTC50L],,□商品説明<br>●独自開発シリコンフォーム素材を組み合わせて使用。<br>●今までにない柔らかさと追従性で、高い遮音性と長時間の快適な装着性を実現。<br>●更に、水洗いもできるので、清潔にお使いいただけます。<br>●Lサイズ4個入り。<br>□商品仕様<br>●入り数:4個<br>●サイズ:Lサイズ,SONY トリプルコンフォートイヤーピース(Lサイズ・4個入り) EP-TC50L [EPTC50L]：エディオン　楽天市場店,SONY トリプルコンフォートイヤーピース(Lサイズ・4個入り) EP-TC50L [EPTC50L],SONY トリプルコンフォートイヤーピース(Lサイズ・4個入り) EP-TC50L [EPTC50L][rn]
15-16268,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_082/4971275319950_ll.jpg?fitin=700:700,784.0000,,TV・オーディオ・カメラ > オーディオ > その他,オーム電機 電源アダプター(トランス式6V 500mA) AV-DR605E [AVDR605E],,□商品説明<br>●安定化電源回路搭載(低電圧回路)。<br>●変換プラグ、4種類(φ3.5/4/5/5.5mm)付属。<br>●デジタルオーディオ機器専用。<br>●極性(+/-)両方対応。<br>□商品仕様<br>●入力:AC100V 50/60Hz 10VA<br>●出力:DC6V 500mA<br>●コード長:約1.8m<br>●付属品:Φ3.5/4/5/5.5mm変換プラグ(Φ5.5mmは、ソケットに装着されています),オーム電機 電源アダプター(トランス式6V 500mA) AV-DR605E [AVDR605E]：エディオン　楽天市場店,オーム電機 電源アダプター(トランス式6V 500mA) AV-DR605E [AVDR605E],オーム電機 電源アダプター(トランス式6V 500mA) AV-DR605E [AVDR605E][rn]
15-16269,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_072/4961310001957_ll.jpg?fitin=700:700,2984.0000,,TV・オーディオ・カメラ > オーディオ > その他,オーディオテクニカ ヘッドシェル MG10 [MG10],　,●本体重量／10g,オーディオテクニカ ヘッドシェル MG10 [MG10]：エディオン　楽天市場店,オーディオテクニカ ヘッドシェル MG10 [MG10],　。オーディオテクニカ ヘッドシェル MG10 [MG10][rn]
15-16270,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_072/4961310088033_ll.jpg?fitin=700:700,4968.0000,,TV・オーディオ・カメラ > オーディオ > その他,【送料無料】オーディオテクニカ コンポオプション AT-HDSL1 [ATHDSL1],,●本体サイズ（W×D×H）(mm)：26×128×72<BR>●本体質量（ｇ）：22,【送料無料】オーディオテクニカ コンポオプション AT-HDSL1 [ATHDSL1]：エディオン　楽天市場店,【送料無料】オーディオテクニカ コンポオプション AT-HDSL1 [ATHDSL1],【送料無料】オーディオテクニカ コンポオプション AT-HDSL1 [ATHDSL1][rn]
15-16271,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_073/4961310127176_ll.jpg?fitin=700:700,12480.0000,,TV・オーディオ・カメラ > オーディオ > その他,【送料無料】オーディオテクニカ ワイヤレススピーカーシステム ホワイト AT-SP767TVWH [ATSP767TVWH],,<img src=http://image.rakuten.co.jp/edion/cabinet/goods/ll/warranty/imgrc0065712695.jpg><br>□商品説明<br>●好みで選べる2段階の「はっきり音」機能。<br>●大口径φ52mmステレオスピーカーで音声やセリフが大音量でしっかり聞ける。<br>●相互通信で電波を自動選択・自動設定。<br>●テレビ音声と連動して電源が自動で切れる「自動電源オフ」機能。<br>□商品仕様<br>【スピーカー】<br>●型式:アンプ内蔵スピーカーシステム<br>●スピーカーユニット:φ52mm×2<br>●最大出力:1.1W+1.1W(充電式電池を使用)、1.2W+1.2W(別売のACアダプターを使用)<br>●出力端子:φ3.5mmステレオミニジャック<br>●電源:専用ニッケル水素充電池 DC6V、(別売のACアダプターを使用)<br>●連続使用時間:約15時間(JEITA規格による) ※使用条件により異なります。<br>●寸法:W19.6×H12.8×D8.4cm<br>●質量:約620g<br>【送信機】<br>●変調方式:その他の方式<br>●送信周波数帯:2.4GHz帯<br>●到達距離:約30m<br>●入力端子:φ3.5mmステレオミニプラグ(1.5m)<br>●電源:DC6V(付属のAC アダプターを使用)<br>●寸法:W18.0×H3.6×D7.7cm<br>●質量:約150g<br>●付属品:10cm 変換コード(RCAピンプラグ×2⇔φ3.5mmステレオミニジャック)、送信機専用ACアダプター,【送料無料】オーディオテクニカ ワイヤレススピーカーシステム ホワイト AT-SP767TVWH [ATSP767TVWH]：エディオン　楽天市場店,【送料無料】オーディオテクニカ ワイヤレススピーカーシステム ホワイト AT-SP767TVWH [ATSP767TVWH],【送料無料】オーディオテクニカ ワイヤレススピーカーシステム ホワイト AT-SP767TVWH [ATSP767TVWH][rn]
15-16272,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_124/4905524997309_ll.jpg?fitin=700:700,57328.0000,,TV・オーディオ・カメラ > オーディオ > その他,【送料無料】SONY コンパクトオーディオシステム ホワイト CAS-1 W [CAS1W]【KK9N0D18P】,,<img src=http://image.rakuten.co.jp/edion/cabinet/goods/ll/warranty/imgrc0065712695.jpg><br>□商品説明<br>●スピーカー用とヘッドホン用をそれぞれ独立した専用のアンプ基板を採用することによって、コンパクトなサイズ感と、圧倒的な高音質を両立しています。<br>●Bluetooth(R)の高音質コーデック「LDAC(TM)」に対応。高音質なワイヤレス再生が可能。<br>●デスクトップなどの限られたスペースでも、ステージ感や臨場感ある音場を再現。USB接続でハイレゾ音源も再生可能です。<br>●独立したハイグレードなヘッドホン専用デバイスを搭載。据置型のハイレゾ対応ヘッドホンアンプとしても楽しめます。<br>□商品仕様<br>●使用スピーカー:2way バスレフ型、直径62mmコーン型ウーファー、直径14mmソフトドームトゥイーター<br>●エンクロージャー方式:バスレフ方式<br>●周波数帯域:60Hz-50000Hz<br>●実用最大出力:24W+24W<br>●通信方式:Bluetooth標準規格ver.3.0<br>●出力:Bluetooth標準規格Power Class2<br>●見通し距離:約10m<br>●使用周波数帯域:2.4GHz帯<br>●変調方式:FHSS<br>●対応プロファイル:A2DPAVRCP<br>●対応コーデック:SBC、AAC、LDAC<br>●対応コンテンツ保護:SCMS-T方式<br>●伝送帯域(A2DP):20Hz-20000Hz(44.1kHzサンプリング時) / 20Hz-40000Hz(LDAC 96kHzサンプリング、990kbps時)<br>●入力:USB A端子、USB B端子<br>●出力:ヘッドホン端子(ステレオミニジャック)<br>●電源:AC電源<br>●消費電力(AC電源使用時):約29W<br>●スピーカー寸法:W9.5×H17.8×D17.2cm<br>●本体寸法:W5.5×H17.8×D21.0cm<br>●スピーカー質量:約1.5kg/1本<br>●本体質量:約1.3kg<br>●付属品:リモコン(1) ※リチウムコイン電池 CR2032、ACアダプター(1)、ACコード(1)、USBケーブル(1)、スピーカーコード1.2m(2)、スパイク(大)(4)、スピーカーベース(2)、スタンド(1)、取扱説明書(1)、使用上のご注意/困ったときは(1),【送料無料】SONY コンパクトオーディオシステム ホワイト CAS-1 W [CAS1W]【KK9N0D18P】：エディオン　楽天市場店,【送料無料】SONY コンパクトオーディオシステム ホワイト CAS-1 W [CAS1W]【KK9N0D18P】,【送料無料】SONY コンパクトオーディオシステム ホワイト CAS-1 W [CAS1W]【KK9N0D18P】[rn]
15-16273,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_070/4957812511711_ll.jpg?fitin=700:700,5184.0000,,TV・オーディオ・カメラ > オーディオ > その他,【送料無料】ヤマハ サウンドリフレクションボード ブラック YRB-100B [YRB100B],,<img src=http://image.rakuten.co.jp/edion/cabinet/goods/ll/warranty/imgrc0065712695.jpg><br>●対応機種:YSP-4300、YSP-3300、YSP-2200、YSP-1400、YRS-2100、YRS-1100<br>●パネル寸法:W30.0×H45.0cm<br>●パネル高さ調整範囲(パネル中央の高さ):24.3～95.0cm<br>●ベース寸法:φ19.5cm<br>●外形寸法:W30.0×H117.5×D19.5cm<br>●質量:1.5kg(1台)<br>●付属品:取扱説明書,【送料無料】ヤマハ サウンドリフレクションボード ブラック YRB-100B [YRB100B]：エディオン　楽天市場店,【送料無料】ヤマハ サウンドリフレクションボード ブラック YRB-100B [YRB100B],【送料無料】ヤマハ サウンドリフレクションボード ブラック YRB-100B [YRB100B][rn]
15-16274,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_036/4582237534924_ll.jpg?fitin=700:700,4552.0000,,TV・オーディオ・カメラ > オーディオ > その他,【送料無料】フルテック 壁コンセント FPX(G) [FPXG],,□商品説明<br>●導電性に優れ、バネ性のある燐青銅電極(刃受部)の新構造により、確実な接触圧が長期に渡り安定して保たれます。また、独特な形状の新構造電極(刃受部)は鋭いエッジを無くし丸みを持たせることにより差し込まれる電源プラグのブレード(刃)材が研磨によって傷つけられるのを防ぐとともに接触面積の拡大と確実性の維持に成功しロスの無い給電を実現しました。<br>●結線部の構造/接触面積が17%以上アップします。<br>●ワイヤー接続部のネジは独自の構造でホールド特性が高く、接触面積も大きく確保できます。<br>□商品仕様<br>●適応ワイヤー:10AWG ～ 24AWG<br>●寸法:W3.35×H2.82×L10.42cm,【送料無料】フルテック 壁コンセント FPX(G) [FPXG]：エディオン　楽天市場店,【送料無料】フルテック 壁コンセント FPX(G) [FPXG],【送料無料】フルテック 壁コンセント FPX(G) [FPXG][rn]
15-16275,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_134/4582237539653_ll.jpg?fitin=700:700,22240.0000,,TV・オーディオ・カメラ > オーディオ > その他,【送料無料】フルテック ハイエンドグレード 電源プラグ FI-50M NCF(R) [FI50MNCFR],,●セラミックとカーボンをナノ単位のパウダーにし、一定比率で調合させることで飛躍的な振動吸収効果を発揮します。今回静電気対策特殊素材「NCF」を調合。これまでの強力な制振効果に加え、静電効果が高まりました。<br>●ハウシングはステンレス合金からの削り出し、内部には制振性のある特殊樹脂を採用し、外側をシルバーカーボンファイバーで仕上げた3層構造です。<br>●ハウシング内部のケーブルクランプ部にも重厚で制振特性を持つ特殊金属を採用したことで強力な制振効果を発揮します。<br>●電源プラグFI-50M NCF(R)のナイフ部は高伝導性を有する純銅を採用。ロジウムメッキ処理し、α-Process 処理(超低温処理&特殊電磁界処理)を施しています。<br>●取付ネジの電位差を無くし、不要な輻射ノイズを抑え、オーディオ装置全体のクオリティを向上させるアースジャンパーを装備。<br>●仕様:ロジウムメッキ<br>●Type:2-pole+earth <br>●Rating:15A 125V AC <br>●ねじの締め付けトルク:[結線部ねじ]150cN・m  [ボディーとハウジング部留めねじ]50cN・m  [ケーブルクランプねじ]30cN・m  ※締め付けの際、許容値を超えないようお願いいたします。<br>●ケーブル適応径:0.6～2.0cm<br>●寸法:φ4.05×4.0cm、全長 7.62cm,【送料無料】フルテック ハイエンドグレード 電源プラグ FI-50M NCF(R) [FI50MNCFR]：エディオン　楽天市場店,【送料無料】フルテック ハイエンドグレード 電源プラグ FI-50M NCF(R) [FI50MNCFR],【送料無料】フルテック ハイエンドグレード 電源プラグ FI-50M NCF(R) [FI50MNCFR][rn]
15-16276,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_036/4582237539554_ll.jpg?fitin=700:700,3384.0000,,TV・オーディオ・カメラ > オーディオ > その他,フルテック L型電源プラグ FI-12ML(CU) [FI12MLCU],,□商品説明<br>●ご使用の機器、環境に合わせて4パターンの角度調整が可能です。（0°/ 90°/ 180°/ 270°の4パターンの調整を推奨しますが、最大8パターン角度調整が可能となっております）<br>●電極部は非磁性ロジウムメッキ、24k金メッキまたは無メッキの純銅素材のα-導体を採用し、安定した接続を確保。 <br>●ハウシングと電極部の取付ネジの電位差を無くすことでプラグ内部のブレード部と導体の接続部から発生する乱れた電磁不要輻射を抑え、音質を向上させるための「アースジャンパー」を装備。<br>□商品仕様<br>●ハウシング本体と本体カバーはナイロン＋グラスファイバーを採用。<br>●ケーブル適応径：9.5mm～17.0mmφ<br>●ワイヤー適応径：5.5mm2 (10AWG) max.　　　　　　<br>●ケーブルクランプ部：ステンレス クランプ　ステンレス ネジ<br>●ネジ止めによる結線<br>●サイズ：42.2mm×55.0mm×約66.4mm (全長) <br>●ハウシングとボディ部の接続部のネジ山をステンレスで補強,フルテック L型電源プラグ FI-12ML(CU) [FI12MLCU]：エディオン　楽天市場店,フルテック L型電源プラグ FI-12ML(CU) [FI12MLCU],フルテック L型電源プラグ FI-12ML(CU) [FI12MLCU][rn]
15-16277,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_036/4582237539530_ll.jpg?fitin=700:700,4608.0000,,TV・オーディオ・カメラ > オーディオ > その他,【送料無料】フルテック L型電源プラグ FI-12ML(G) [FI12MLG],,□商品説明<br>●ご使用の機器、環境に合わせて4パターンの角度調整が可能です。（0°/ 90°/ 180°/ 270°の4パターンの調整を推奨しますが、最大8パターン角度調整が可能となっております）<br>●電極部は非磁性ロジウムメッキ、24k金メッキまたは無メッキの純銅素材のα-導体を採用し、安定した接続を確保。 <br>●ハウシングと電極部の取付ネジの電位差を無くすことでプラグ内部のブレード部と導体の接続部から発生する乱れた電磁不要輻射を抑え、音質を向上させるための「アースジャンパー」を装備。<br>□商品仕様<br>●ハウシング本体と本体カバーはナイロン＋グラスファイバーを採用。<br>●ケーブル適応径：9.5mm～17.0mmφ<br>●ワイヤー適応径：5.5mm2 (10AWG) max.　　　　　　<br>●ケーブルクランプ部：ステンレス クランプ　ステンレス ネジ<br>●ネジ止めによる結線<br>●サイズ：42.2mm×55.0mm×約66.4mm (全長) <br>●ハウシングとボディ部の接続部のネジ山をステンレスで補強,【送料無料】フルテック L型電源プラグ FI-12ML(G) [FI12MLG]：エディオン　楽天市場店,【送料無料】フルテック L型電源プラグ FI-12ML(G) [FI12MLG],【送料無料】フルテック L型電源プラグ FI-12ML(G) [FI12MLG][rn]
15-16278,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_036/4582237539141_ll.jpg?fitin=700:700,5248.0000,,TV・オーディオ・カメラ > オーディオ > その他,【送料無料】フルテック インレットプラグ 24K金メッキ FI-28(G) [FI28G],ハイエンド・グレード インレットプラグ。,□商品説明<br>●電極の絶縁は制振性カーボンパウダーを混入したナイロン+グラスファイバーで電磁振動を効果的に吸収します。<br>●ハウシングと電極部の取付ネジの電位差を無くすことでプラグ内部のブレード部と導体の接続部から発生する乱れた電磁不要輻射を抑え、音質を向上させるための「アースジャンパー」を装備。<br>●「アースジャンパー機能」は電磁不要輻射を取付ネジに接触する銅板を内蔵することによって吸収し、アースに落とす効果により電位を安定させるものです。この電磁不要輻射吸収機能は音質の向上を効果的に果たします。さらにこの効果により電磁振動も大幅に軽減します。<br>●ハウシング内部のケーブルクランプ部にも重厚で制振特性を持つ特殊金属を採用したことで強力な制振効果を発揮し電磁振動を大幅に軽減します。<br>□商品仕様<br>●形状:2-pole+earth<br>●定格:15A 125V /10A 250V AC<br>●メッキ仕様:24K金メッキ<br>●ケーブル適応径:0.66～1.75cm(細いケーブルから極太ケーブルまで対応します),【送料無料】フルテック インレットプラグ 24K金メッキ FI-28(G) [FI28G]：エディオン　楽天市場店,【送料無料】フルテック インレットプラグ 24K金メッキ FI-28(G) [FI28G],ハイエンド・グレード インレットプラグ。。【送料無料】フルテック インレットプラグ 24K金メッキ FI-28(G) [FI28G][rn]
15-16279,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_123/4582237539639_ll.jpg?fitin=700:700,25440.0000,,TV・オーディオ・カメラ > オーディオ > その他,【送料無料】フルテック ノイズフィルター内蔵型電源ケーブル Power Guard POWER GUARD-15 [POWERGUARD15],,□商品説明<br>●AC 電源のノイズ成分を徹底的に除去するためのフィルター内蔵型電源ケーブル。 インレットプラグ側をパワータップやオーディオ機器に直接接続することで外部からのノイズ 遮断だけでなく、 電源部から外部へのノイズ拡散も防ぎ、クリーン給電をおこないます。 <br>●IECプラグにはフィルター内蔵のFI-68(R)と電源プラグには FI-15M Plus(R)を採用。電極部は非磁性純銅ロ ジウムメッキ処理をした上でαプロセス処理を施しています。 <br>●ケーブルは新素材 PC Triple C 導体を採用し、伝送特性に影響をもたらす絶縁材には特殊耐熱グレードPVC 採用。ケーブルの外装には柔軟性の高い PVC を使用することで音質を向上させます。特殊な隔離構造を使用 したケーブルと剛性の高いFI-15M Plus(R)電源プラグの融合で万全の振動対策により電源ケーブルを介して侵入 する有害な外部振動の遮断が実現します。 <br>●フィルターはFI-68 IECコネクターと一体化された直列コイルとコンデンサーにより構成されるフィルター回路で、100kHzで約8dB、500kHzで約14dB のノイズ成分を減衰させる特性。電極はロジウムメッキを施し、 フィルターの内部には振動の影響を軽減するためにエポキシ材を充填させたカスタムメイドを採用。 極太コイルによる低損失フィルターにより、ノイズ除去効果を高めながらもエネルギーの制御感を持たないメリ ットを生み出します。スイッチングノイズ等高周波の除去に大きな効果を発揮します。 <br>●フィルターを包む筐体はナイロン+グラスファイバーと特殊なステンレスファイバーを一定比率で配合させることでEMI遮蔽の効果を向上させることができました。筐体そのものもスタビライザー効果を発揮し、振動や電磁ノイズを除去します。<br>□商品仕様<br>●仕様:ロジウムメッキ<br>●導体:PC Triple C 導体 [構成]80本/0.18mmφ  [外径]1.9mmφ<br>●絶縁体:特殊耐熱グレードPVC(青、茶、緑+黄インクライン)  [外径]3.5mm<br>●シース-1:RoHS 指令適合 柔軟性 PVC  [外径]9.2mmφ <br>●シールド:0.12A OFC編組 (密度 85%)<br>●シース:RoHS 指令適合 柔軟性 PVC 仕上り  [外径]約12.8mmφ<br>●ケーブル長:150cm,【送料無料】フルテック ノイズフィルター内蔵型電源ケーブル Power Guard POWER GUARD-15 [POWERGUARD15]：エディオン　楽天市場店,【送料無料】フルテック ノイズフィルター内蔵型電源ケーブル Power Guard POWER GUARD-15 [POWERGUARD15],【送料無料】フルテック ノイズフィルター内蔵型電源ケーブル Power Guard POWER GUARD-15 [POWERGUARD15][rn]
15-16280,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_123/4582237539622_ll.jpg?fitin=700:700,39840.0000,,TV・オーディオ・カメラ > オーディオ > その他,【送料無料】フルテック ノイズフィルター内蔵型電源ケーブル Power Guard POWER GUARD-48 [POWERGUARD48],,□商品説明<br>●AC電源のノイズ成分を徹底的に除去するためのフィルター内蔵型電源ケーブル。 インレットプラグ側をパワータップやオーディオ機器に直接接続することで外部からのノイズ 遮断だけでなく、 電源部から外部へのノイズ拡散も防ぎ、クリーン給電をおこないます。 <br>●IECプラグにはフィルター内蔵のFI-68(R)と電源プラグには FI-48M(R)を採用。電極部は非磁性純銅ロジウム メッキ処理をした上でαプロセス処理を施しています。 <br>●ケーブルは PC Triple C 導体を採用し、伝送特性に影響をもたらす絶縁材には特殊耐熱グレードPVC採用。 ケーブルの外装には柔軟性の高いPVCを使用することで音質を向上させます。特殊な隔離構造を使用したケ ーブルと剛性の高いFI-48M(R)電源プラグの融合で万全の振動対策により電源ケーブルを介して侵入する 有害な外部振動の遮断が実現します。 <br>●フィルターはFI-68 IECコネクターと一体化された直列コイルとコンデンサーにより構成されるフィルター回 路で、100kHzで約 8dB、500kHzで約14dB のノイズ成分を減衰させる特性。電極はロジウムメッキを施し、 フィルターの内部には振動の影響を軽減するためにエポキシ材を充填させたカスタムメイドを採用。 極太コイルによる低損失フィルターにより、ノイズ除去効果を高めながらもエネルギーの制御感を持たないメリ ットを生み出します。スイッチングノイズ等高周波の除去に大きな効果を発揮します。 <br>●フィルターを包む筐体はナイロン+グラスファイバーと特殊なステンレスファイバーを一定比率で配合させるこ とでEMI遮蔽の効果を向上させることができました。筐体そのものもスタビライザー効果を発揮し、振動や電磁ノイズを除去します。<br>□商品仕様<br>●導体: PC Triple C [導体構成]45本/0.32mmφ  [外径]2.5mmφ<br>●絶縁体:特殊耐熱グレードPVC(青、茶、緑+黄インクライン) [外径]5.0mm<br>●シース-1:RoHS 指令適合 柔軟性 PVC  [外径]12.0mmφ<br>●シールド:0.12A OFC編組 (密度 85%)<br>●シース:RoHS 指令適合 柔軟性 PVC 仕上り  [外径]16mmφ Approx.<br>●ケーブル長:150cm,【送料無料】フルテック ノイズフィルター内蔵型電源ケーブル Power Guard POWER GUARD-48 [POWERGUARD48]：エディオン　楽天市場店,【送料無料】フルテック ノイズフィルター内蔵型電源ケーブル Power Guard POWER GUARD-48 [POWERGUARD48],【送料無料】フルテック ノイズフィルター内蔵型電源ケーブル Power Guard POWER GUARD-48 [POWERGUARD48][rn]
