15-163801,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58462887.jpg?fitin=700:700,87360.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
BR9 レガシィ ツーリングワゴン 2.5 GT
ボディ型式 ： DBA-BR9
エンジン型式 ： EJ25
年式 ： H21.05～ 
適合車両 
BRG レガシィ ツーリングワゴン 2.0 GT DIT
ボディ型式 ： DBA-BRG
エンジン型式 ： FA20
年式 ： H24.05～ 
出口形状   
117φラウンドスラッシュ（II・R.L） 
備考  
AT/MT(BRG)、CVT(BRG)共通",FGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT[rn]
15-163872,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0061973536.jpg?fitin=700:700,39200.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーLA400K コペン通常モデル,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"LA400K コペン
    ボディ型式 ： DBA-LA400K
    エンジン型式 ： KF
    年式 ： H26.06～ 

特記事項 CVT車/MT車共通
備考 ポリッシュテールエンドモデル",FGK（フジツボ）オーソライズKマフラーLA400K コペン通常モデル：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーLA400K コペン通常モデル,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーLA400K コペン通常モデル[rn]
15-163873,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0061973685.jpg?fitin=700:700,64400.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＶマフラーZVW41W プリウスα 1.8 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"ZVW41W プリウスα 1.8 2WD
    ボディ型式 ： DAA-ZVW41W
    エンジン型式 ： 2ZR-FXE
    年式 ： H23.05～ 

ZVW40W プリウスα 1.8 2WD
    ボディ型式 ： DAA-ZVW40W
    エンジン型式 ： 2ZR-FXE
    年式 ： H23.05～ 

特記事項 ５人乗り、７人乗り共通
ツーリングセレクション（リヤバンパースポイラー装着車）共通",FGK（フジツボ）オーソライズＶマフラーZVW41W プリウスα 1.8 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＶマフラーZVW41W プリウスα 1.8 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＶマフラーZVW41W プリウスα 1.8 2WD[rn]
15-163874,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59417071.jpg?fitin=700:700,22400.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーJE1 ゼスト スパーク ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>JE1 ゼスト スポーツ ターボ 2WDボディ型式 ： DBA-JE1エンジン型式 ： P07A年式 ： H18.03～H20.12 JE1 ゼスト スパーク ターボ 2WDボディ型式 ： DBA-JE1エンジン型式 ： P07A年式 ： H20.12～H24.11 <BR><BR>特記事項

<BR>

「W TYPE」、「G TYPE」共通",FGK（フジツボ）オーソライズKマフラーJE1 ゼスト スパーク ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーJE1 ゼスト スパーク ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーJE1 ゼスト スパーク ターボ 2WD[rn]
15-163875,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58469785.jpg?fitin=700:700,31640.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーATH20W ヴェルファイア ハイブリッド ZR,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
ATH20W アルファード ハイブリッド G/Xボディ型式 ： DAA-ATH20Wエンジン型式 ： 2AZ-FXE年式 ： H23.11～ ATH20W ヴェルファイア ハイブリッド V/Xボディ型式 ： DAA-ATH20Wエンジン型式 ： 2AZ-FXE年式 ： H23.11～ 

<BR><BR>SR/ZRグレード(HV車)専用",FGK（フジツボ）オーソライズＳマフラーATH20W ヴェルファイア ハイブリッド ZR：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーATH20W ヴェルファイア ハイブリッド ZR,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーATH20W ヴェルファイア ハイブリッド ZR[rn]
15-163876,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58555046.jpg?fitin=700:700,38080.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーZRE162G カローラフィールダー 1.8 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
NZE161G カローラフィールダー 1.5 2WDボディ型式 ： DBA-NZE161Gエンジン型式 ： 1NZ-FE年式 ： H24.05～  
<BR>
ZRE162G カローラフィールダー 1.8 2WDボディ型式 ： DBA-ZRE162Gエンジン型式 ： 2ZR-FAE年式 ： H24.05～  <BR><BR>
特記事項

<BR>2WD,CVT専用 
AERO TOURER共通",FGK（フジツボ）オーソライズＳマフラーZRE162G カローラフィールダー 1.8 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーZRE162G カローラフィールダー 1.8 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーZRE162G カローラフィールダー 1.8 2WD[rn]
15-163877,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0061970723.jpg?fitin=700:700,29568.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーMR31S ハスラー ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>
MR31S ハスラー ターボ 2WD
    ボディ型式 ： DBA-MR31S
    エンジン型式 ： R06A
    年式 ： H26.01～",FGK（フジツボ）オーソライズKマフラーMR31S ハスラー ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーMR31S ハスラー ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーMR31S ハスラー ターボ 2WD[rn]
15-163878,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59416796.jpg?fitin=700:700,33600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラークリッパー リオ ターボ 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>クリッパー リオ ターボ 4WDボディ型式 ： ABA-U72Wエンジン型式 ： 3G83年式 ： H19.06～ クリッパー リオ ターボ 2WDボディ型式 ： ABA-U71Wエンジン型式 ： 3G83年式 ： H19.06～ タウンボックス ターボ 4WDボディ型式 ： ABA-U62Wエンジン型式 ： 3G83年式 ： H16.10～ タウンボックス ターボ 2WDボディ型式 ： ABA-U61Wエンジン型式 ： 3G83年式 ： H16.10～  <BR><BR>特記事項

<BR>
エアロバージョン リヤアンダースポイラー装着車共通 
寒冷地仕様車共通",FGK（フジツボ）オーソライズKマフラークリッパー リオ ターボ 4WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラークリッパー リオ ターボ 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラークリッパー リオ ターボ 4WD[rn]
15-163879,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58705582.jpg?fitin=700:700,50400.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーMH34S ワゴンR スティングレー ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
MH34S ワゴンR スティングレー ターボ 2WDボディ型式 ： DBA-MH34Sエンジン型式 ： R06A年式 ： H24.09～
<BR><BR>
特記事項

<BR>Wテール左右出し",FGK（フジツボ）オーソライズＳマフラーMH34S ワゴンR スティングレー ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーMH34S ワゴンR スティングレー ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーMH34S ワゴンR スティングレー ターボ 2WD[rn]
15-163880,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59305807.jpg?fitin=700:700,33600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーH82W ekワゴン 4WD マイナー後２,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>H92W オッティ NA 2WDボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H18.10～H20.09 H92W オッティ NA 4WDボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H18.10～H20.09 H92W オッティ NA 2WD マイナー後ボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H20.09～H20.12 H92W オッティ NA 4WD マイナー後ボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H20.09～H20.12 H82W eKワゴン 2WDボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H18.09～H20.08 H82W eKワゴン 4WDボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H18.09～H20.08 H82W ekワゴン 2WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.08～H20.12 H82W ekワゴン 4WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.08～H20.12 H82W ekワゴン 2WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.12～ H82W ekワゴン 4WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.12～  <BR><BR>特記事項

<BR>2WD、4WD共通 
4AT車、5MT車共通",FGK（フジツボ）オーソライズKマフラーH82W ekワゴン 4WD マイナー後２：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーH82W ekワゴン 4WD マイナー後２,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーH82W ekワゴン 4WD マイナー後２[rn]
15-163881,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0061973673.jpg?fitin=700:700,88480.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーVAB WRX STI 2.0 ターボ,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"VAB WRX STI 2.0 ターボ
    ボディ型式 ： CBA-VAB
    エンジン型式 ： EJ20
    年式 ： H26.08～ 
備考",FGK（フジツボ）オーソライズＲマフラーVAB WRX STI 2.0 ターボ：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーVAB WRX STI 2.0 ターボ,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーVAB WRX STI 2.0 ターボ[rn]
15-163882,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0061987340.jpg?fitin=700:700,40880.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーBLFFW アクセラ スポーツ 2.0 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"BLFFW アクセラ スポーツ 2.0 2WD
    ボディ型式 ： DBA－BLFFW
    エンジン型式 ： PE-VPS
    年式 ： H23.09～H25.11 
<BR><BR>
特記事項",FGK（フジツボ）オーソライズＳマフラーBLFFW アクセラ スポーツ 2.0 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーBLFFW アクセラ スポーツ 2.0 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーBLFFW アクセラ スポーツ 2.0 2WD[rn]
15-163883,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58735030.jpg?fitin=700:700,77280.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーGRF インプレッサ WRX STI A-Line,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR><BR>
GRB インプレッサ WRX STIボディ型式 ： CBA-GRBエンジン型式 ： EJ20年式 ： H19.10～  <BR><BR>
 GRF インプレッサ WRX STI A-Lineボディ型式 ： CBA-GRFエンジン型式 ： EJ25年式 ： H21.02～<BR><BR>

特記事項

<BR>
スペックC 取付不可
<BR>
備考
<BR><BR>",FGK（フジツボ）オーソライズＲマフラーGRF インプレッサ WRX STI A-Line：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーGRF インプレッサ WRX STI A-Line,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーGRF インプレッサ WRX STI A-Line[rn]
15-163884,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58484611.jpg?fitin=700:700,56000.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーGYL16W レクサス RX450h 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>

GYL16W レクサス RX450h 4WDボディ型式 ： DAA-GYL16Wエンジン型式 ： 2GR-FXE年式 ： H21.04～ 

<BR><BR>
特記事項

エアサス車専用",FGK（フジツボ）オーソライズＳマフラーGYL16W レクサス RX450h 4WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーGYL16W レクサス RX450h 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーGYL16W レクサス RX450h 4WD[rn]
15-163885,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59416994.jpg?fitin=700:700,36960.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーH92W オッティ ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>H92W オッティ ターボ 2WDボディ型式 ： CBA-H92Wエンジン型式 ： 3G83年式 ： H18.10～H20.09 H92W オッティ ターボ 2WD マイナー後ボディ型式 ： CBA-H92Wエンジン型式 ： 3G83年式 ： H20.09～H22.08 H82W eKスポーツ ターボ 2WDボディ型式 ： CBA-H82Wエンジン型式 ： 3G83年式 ： H18.09～H20.08 H82W ekスポーツ ターボ 2WD マイナー後ボディ型式 ： CBA-H82Wエンジン型式 ： 3G83年式 ： H20.08～H25.04 <BR><BR>特記事項

<BR>",FGK（フジツボ）オーソライズKマフラーH92W オッティ ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーH92W オッティ ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーH92W オッティ ターボ 2WD[rn]
15-163886,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58483534.jpg?fitin=700:700,54880.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラー GE8 フィット RS 1.5 2WD マイナー後,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR>GE8 フィット RS 1.5 2WD マイナー後
<BR>ボディ型式 ： DBA-GE8
<BR>エンジン型式 ： L15A
<BR>年式 ： H22.10～  
<BR>マイナー後専用。 
CVT車、MT車 共通",FGK（フジツボ）オーソライズＲマフラー GE8 フィット RS 1.5 2WD マイナー後：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラー GE8 フィット RS 1.5 2WD マイナー後,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラー GE8 フィット RS 1.5 2WD マイナー後[rn]
15-163887,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0061980933.jpg?fitin=700:700,44800.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーGJ2FP アテンザ セダン 2.2 DT,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"GJ2FP アテンザ セダン 2.2 DT
    ボディ型式 ： LDA-GJ2FP
    エンジン型式 ： SH-VPTR
    年式 ： H24.11～ 
<BR><BR>

<BR>特記事項 MT車専用",FGK（フジツボ）オーソライズＳマフラーGJ2FP アテンザ セダン 2.2 DT：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーGJ2FP アテンザ セダン 2.2 DT,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーGJ2FP アテンザ セダン 2.2 DT[rn]
15-163888,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59755907.jpg?fitin=700:700,33488.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲMマフラーNCP131 ヴィッツ RS G's 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR>NCP131 ヴィッツ RS 1.5 2WDボディ型式 ： DBA-NCP131エンジン型式 ： 1NZ-FE年式 ： H22.12～
 <BR>
NCP131 ヴィッツ RS G's 1.5 2WDボディ型式 ： DBA-NCP131エンジン型式 ： 1NZ-FE年式 ： H23.12～ <BR><BR>
特記事項
CVT車専用
 <BR><BR>


備考
ステンレス＋カーボンモデル",FGK（フジツボ）オーソライズＲMマフラーNCP131 ヴィッツ RS G's 1.5 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲMマフラーNCP131 ヴィッツ RS G's 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲMマフラーNCP131 ヴィッツ RS G's 1.5 2WD[rn]
15-163889,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58720605.jpg?fitin=700:700,113680.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーURJ202W ランドクルーザー 200,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR><BR>
URJ202W ランドクルーザー 200ボディ型式 ： CBA-URJ202Wエンジン型式 ： 1UR-FE年式 ： H21.05～  <BR><BR>

特記事項

<BR>
左右出し
<BR>
備考
<BR><BR>
けん引フック(左右)要取り外し 
スペアタイヤを専用金具で移設(傾ける)",FGK（フジツボ）オーソライズＲマフラーURJ202W ランドクルーザー 200：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーURJ202W ランドクルーザー 200,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーURJ202W ランドクルーザー 200[rn]
15-163890,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59416796.jpg?fitin=700:700,33600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラータウンボックス ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>クリッパー リオ ターボ 4WDボディ型式 ： ABA-U72Wエンジン型式 ： 3G83年式 ： H19.06～ クリッパー リオ ターボ 2WDボディ型式 ： ABA-U71Wエンジン型式 ： 3G83年式 ： H19.06～ タウンボックス ターボ 4WDボディ型式 ： ABA-U62Wエンジン型式 ： 3G83年式 ： H16.10～ タウンボックス ターボ 2WDボディ型式 ： ABA-U61Wエンジン型式 ： 3G83年式 ： H16.10～  <BR><BR>特記事項

<BR>
エアロバージョン リヤアンダースポイラー装着車共通 
寒冷地仕様車共通",FGK（フジツボ）オーソライズKマフラータウンボックス ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラータウンボックス ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラータウンボックス ターボ 2WD[rn]
15-163891,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58483041.jpg?fitin=700:700,74480.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）レガリスＲタイプSマフラーZ33 フェアレディZ 07マイナー後 MT,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
Z33 フェアレディZ 05マイナー後 MTボディ型式 ： CBA-Z33エンジン型式 ： VQ35DE年式 ： H17.09～H19.01 <BR><BR>

Z33 フェアレディZ 07マイナー後 MTボディ型式 ： CBA-Z33エンジン型式 ： VQ35HR年式 ： H19.01～H20.11 
<BR><BR>
M/T専用",FGK（フジツボ）レガリスＲタイプSマフラーZ33 フェアレディZ 07マイナー後 MT：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）レガリスＲタイプSマフラーZ33 フェアレディZ 07マイナー後 MT,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）レガリスＲタイプSマフラーZ33 フェアレディZ 07マイナー後 MT[rn]
15-163892,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59778882.jpg?fitin=700:700,60480.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーJF1 N BOX カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
JF1 N BOX カスタム ターボ 2WDボディ型式 ： DBA-JF1エンジン型式 ： S07A年式 ： H23.12～
<BR><BR>
特記事項
カスタム専用 
Wテール左右出し",FGK（フジツボ）オーソライズＳマフラーJF1 N BOX カスタム ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーJF1 N BOX カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーJF1 N BOX カスタム ターボ 2WD[rn]
15-163893,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59542673.jpg?fitin=700:700,30688.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーMH23S ワゴンR NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"HE22S アルト ラパン NA 2WDボディ型式 ： DBA-HE22Sエンジン型式 ： K6A年式 ： H20.11～ MH23S ワゴンR NA 2WDボディ型式 ： DBA-MH23Sエンジン型式 ： K6A年式 ： H20.09～ MH23S ワゴンR スティングレー NA 2WDボディ型式 ： DBA-MH23Sエンジン型式 ： K6A年式 ： H20.09～ 

<BR>

特記事項
AT/CVT/MT共通 
ワゴンR：FX・FXアイドリングストップ・スティングレーX・スティングレーリミテッド グレード共通 
ラパン：G・X グレード共通",FGK（フジツボ）オーソライズKマフラーMH23S ワゴンR NA 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーMH23S ワゴンR NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーMH23S ワゴンR NA 2WD[rn]
