13-7101,,69097.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００×１８００ （シートなし） 受注単位1,工事用品\吊りクランプ・スリング・荷締機\モッコ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●繊維製のベルトモッコなので建築、土木での荷役作業が安全に行えます。<br>●繊維製なので、癖もつかず、収納も楽に行えます。<br>●最大使用荷重(t):1<br>●吊手長さ(mm):2000<br>●幅(mm):1800<br>●長さ(mm):1800<br>●網目(mm):150<br>●質量(kg):5.5<br>●ベルト幅:50mm<br>●ポリエステル100％<br>",『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００&times;１８００ （シートなし） 受注単位1：クローバー資材館,『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００&times;１８００ （シートなし） 受注単位1,工事用品\吊りクランプ・スリング・荷締機\モッコ。『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００&times;１８００ （シートなし） 受注単位1[rn]
13-7165,,65027.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒シンワ測定/シンワ 光学機器【71513】(8184211) シンワ レーザーロボＮｅｏ＿Ｅ＿Ｓｅｎｓｏｒ31受光器・三脚セット 発注単位1,工事用品\測量用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●振動や揺れが大きい作業現場でも素早くラインが安定する電子センサー+モーター方式です。<br>
●垂直、水平の基準出しに使用。<br>
●縦(mm):190<br>
●横(mm):128<br>
●精度:±1mm/7.5m<br>
●自動補正範囲:±3°<br>
●容器保護等級:IP54<br>
●電源：単３アルカリ乾電池×4本（付属）、ACアダプター（付属）<br>
●最大到達距離：約３５ｍ（受光器使用時）<br>
●縦・横ライン:7.5mで±1mm<br>
●出力:mW以下で（JISクラス2）<br>
●ライン光幅:5mで約1.5mm<br>
●本体：ＡＢＳ樹脂<br>
●受光器：ＡＢＳ樹脂<br>
●三脚：アルミ<br>
●レーザー墨出器:71503<br>
●受光器:77398<br>
●三脚:76629<br>
●アルミケース<br>
●水平調整三脚アダプター<br>
●レーザーメガネ<br>
●単３アルカリ乾電池４本",■〒シンワ測定/シンワ 光学機器【71513】(8184211) シンワ レーザーロボＮｅｏ＿Ｅ＿Ｓｅｎｓｏｒ31受光器・三脚セット 発注単位1：クローバー資材館,■〒シンワ測定/シンワ 光学機器【71513】(8184211) シンワ レーザーロボＮｅｏ＿Ｅ＿Ｓｅｎｓｏｒ31受光器・三脚セット 発注単位1,工事用品\測量用品。■〒シンワ測定/シンワ 光学機器【71513】(8184211) シンワ レーザーロボＮｅｏ＿Ｅ＿Ｓｅｎｓｏｒ31受光器・三脚セット 発注単位1[rn]
13-7166,,1682.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒キッツ/キッツ　ユニオン【PU-8A  (PU-1/4)】(1640461) 受注単位1,工事用品\管工機材\ねじ込み管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒キッツ/キッツ　ユニオン【PU-8A  (PU-1/4)】(1640461) 受注単位1：クローバー資材館,『カード対応OK！』■〒キッツ/キッツ　ユニオン【PU-8A  (PU-1/4)】(1640461) 受注単位1,工事用品\管工機材\ねじ込み管継手。『カード対応OK！』■〒キッツ/キッツ　ユニオン【PU-8A  (PU-1/4)】(1640461) 受注単位1[rn]
13-7167,,1802.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰトップミニ　Φ５８Ｘ穴径９．６ｍｍ　５枚入　１５０＃【GP5810150# (5ｺｲﾘ)】(1181459) 受注単位1,(1181459),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●粒度バリエーションが豊富で荒仕上げから、仕上げ研磨までこなす万能タイプです。弾性砥石の難点である研磨焼けを防ぎ、高い研削性と5～6倍の長寿命を有します。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰトップミニ　Φ５８Ｘ穴径９．６ｍｍ　５枚入　１５０＃【GP5810150# (5ｺｲﾘ)】(1181459) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰトップミニ　Φ５８Ｘ穴径９．６ｍｍ　５枚入　１５０＃【GP5810150# (5ｺｲﾘ)】(1181459) 受注単位1,(1181459)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰトップミニ　Φ５８Ｘ穴径９．６ｍｍ　５枚入　１５０＃【GP5810150# (5ｺｲﾘ)】(1181459) 受注単位1[rn]
13-7168,,39194.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒空研/空研　吸塵式デュアルアクションサンダー（糊付）【DAM-055SA】(2954214) 受注単位1,作業用品\空圧工具\エアサンダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●小型、軽量で長時間作業も楽々です。<br>●円滑な二重回転運動です。<br>●高い吸じん能力を発揮します。",『カード対応OK！』■〒空研/空研　吸塵式デュアルアクションサンダー（糊付）【DAM-055SA】(2954214) 受注単位1：クローバー資材館,『カード対応OK！』■〒空研/空研　吸塵式デュアルアクションサンダー（糊付）【DAM-055SA】(2954214) 受注単位1,作業用品\空圧工具\エアサンダー。『カード対応OK！』■〒空研/空研　吸塵式デュアルアクションサンダー（糊付）【DAM-055SA】(2954214) 受注単位1[rn]
13-7169,,238.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ファブリックディスク　２枚入　６００＃【TFD-125#600 (125MM)】(2584115) 受注単位1,(2584115),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ナイロン繊維の不織布とアランダム砥粒をベースにしていますのでソフトな研磨作業ができ加工物に良くなじみます。<br>●マジックテープでパットに取り付けて使用します。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ファブリックディスク　２枚入　６００＃【TFD-125#600 (125MM)】(2584115) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ファブリックディスク　２枚入　６００＃【TFD-125#600 (125MM)】(2584115) 受注単位1,(2584115)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ファブリックディスク　２枚入　６００＃【TFD-125#600 (125MM)】(2584115) 受注単位1[rn]
13-7170,,324.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立金属/日立　プラグ【P-32A  (P-1 1/4  80)】(1633821) 受注単位1,工事用品\管工機材\ねじ込み管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●粘り強く強靭さが特徴な「マレブル」製の継手です。<br>●表面処理は環境負荷を軽減した「優めっき」（RoHS対応）を採用しています。",『カード対応OK！』■〒日立金属/日立　プラグ【P-32A  (P-1 1/4  80)】(1633821) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立金属/日立　プラグ【P-32A  (P-1 1/4  80)】(1633821) 受注単位1,工事用品\管工機材\ねじ込み管継手。『カード対応OK！』■〒日立金属/日立　プラグ【P-32A  (P-1 1/4  80)】(1633821) 受注単位1[rn]
13-7171,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002844506.jpg?fitin=700:700,1699.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ　両面ネオロック１９巾７．５ｍ【ZS19-75 BP  (19ﾊﾊﾞ7.5M)】(2098971) 受注単位1,工事用品\測量用品\コンベックス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●裏面は高さ測定に見やすい縦目盛です。",『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ　両面ネオロック１９巾７．５ｍ【ZS19-75 BP  (19ﾊﾊﾞ7.5M)】(2098971) 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ　両面ネオロック１９巾７．５ｍ【ZS19-75 BP  (19ﾊﾊﾞ7.5M)】(2098971) 受注単位1,工事用品\測量用品\コンベックス。『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ　両面ネオロック１９巾７．５ｍ【ZS19-75 BP  (19ﾊﾊﾞ7.5M)】(2098971) 受注単位1[rn]
13-7172,,27953.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＳＴＳ【SF-11R】(7545959) 高輝度レーザー墨出器　ＳＦ－１１Ｒ 受注単位1,工事用品\測量用品\レーザー墨出器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●補正範囲は±3°と広範囲で、補正範囲を超えた際は光点滅でお知らせする安心設計です。<br>●いくら回しても限界がないエンドレス微動ねじを採用しています。<br>●盗難・火災保険付です。（購入から１年間）<br>●盗難・火災保険付です。（購入から1年間）<br>●特許出願中<br><br>●建築土木、内装工事、設備工事、電気工事関係など。<br><br>●縦(mm)：165<br>●横(mm)：90<br>●精度：±1mm/10m<br>●自動補正範囲：±3°<br><br>●容器保護等級：IP54<br>●電源：単3乾電池×4本（付属）<br><br>",『カード対応OK！』■〒ＳＴＳ【SF-11R】(7545959) 高輝度レーザー墨出器　ＳＦ&minus;１１Ｒ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＳＴＳ【SF-11R】(7545959) 高輝度レーザー墨出器　ＳＦ&minus;１１Ｒ 受注単位1,工事用品\測量用品\レーザー墨出器。『カード対応OK！』■〒ＳＴＳ【SF-11R】(7545959) 高輝度レーザー墨出器　ＳＦ&minus;１１Ｒ 受注単位1[rn]
13-7173,,1859.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒キッツ/キッツ　ゲートバルブ１２５型　３／４【FH-20A  (FH-3/4)】(1635859) 受注単位1,工事用品\管工機材\バルブ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒キッツ/キッツ　ゲートバルブ１２５型　３／４【FH-20A  (FH-3/4)】(1635859) 受注単位1：クローバー資材館,『カード対応OK！』■〒キッツ/キッツ　ゲートバルブ１２５型　３／４【FH-20A  (FH-3/4)】(1635859) 受注単位1,工事用品\管工機材\バルブ。『カード対応OK！』■〒キッツ/キッツ　ゲートバルブ１２５型　３／４【FH-20A  (FH-3/4)】(1635859) 受注単位1[rn]
13-7174,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004383438.jpg?fitin=700:700,2501.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大塚刷毛製造/大塚　塗来　建築用　筋違　黒　２５号【TK 25】(3857620) 受注単位1,工事用品\塗装・内装用品\刷毛,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ウエーブ繊維を採用しています。",『カード対応OK！』■〒大塚刷毛製造/大塚　塗来　建築用　筋違　黒　２５号【TK 25】(3857620) 受注単位1：クローバー資材館,『カード対応OK！』■〒大塚刷毛製造/大塚　塗来　建築用　筋違　黒　２５号【TK 25】(3857620) 受注単位1,工事用品\塗装・内装用品\刷毛。『カード対応OK！』■〒大塚刷毛製造/大塚　塗来　建築用　筋違　黒　２５号【TK 25】(3857620) 受注単位1[rn]
13-7175,,2000.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒キッツ/キッツ　径違いソケット【PRS1-25A  (PRS-1X3/4)】(1639811) 受注単位1,工事用品\管工機材\ねじ込み管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒キッツ/キッツ　径違いソケット【PRS1-25A  (PRS-1X3/4)】(1639811) 受注単位1：クローバー資材館,『カード対応OK！』■〒キッツ/キッツ　径違いソケット【PRS1-25A  (PRS-1X3/4)】(1639811) 受注単位1,工事用品\管工機材\ねじ込み管継手。『カード対応OK！』■〒キッツ/キッツ　径違いソケット【PRS1-25A  (PRS-1X3/4)】(1639811) 受注単位1[rn]
13-7176,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002824935.jpg?fitin=700:700,13486.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　鉛直レーザ墨出器　ＯＬＰ－２【OLP-2】(3375013) 受注単位1,工事用品\測量用品\レーザー墨出器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●レーザーポイントの停止が速いマグネットダンパーを採用しました。<br>●±4.5°と広範囲な自動補正機構を内蔵、補正外ではブザー音で警告する安心設計です。<br>●強力マグネットで金属面に固定可能です。<br>●スライド式架台で地墨合わせも簡単です。<br>●磁石付ターゲットを2枚標準装備、柱の鉛直出しも簡単です。<br>●電池残量警告（メインパイロットランプ点滅）付です。",『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　鉛直レーザ墨出器　ＯＬＰ&minus;２【OLP-2】(3375013) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　鉛直レーザ墨出器　ＯＬＰ&minus;２【OLP-2】(3375013) 受注単位1,工事用品\測量用品\レーザー墨出器。『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　鉛直レーザ墨出器　ＯＬＰ&minus;２【OLP-2】(3375013) 受注単位1[rn]
13-7177,http://tshop.r10s.jp/clover9608/cabinet/pb7/t010004582352.jpg?fitin=700:700,3573.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＳＵＳユニオンティ　適用チューブ径１２Ｘ１０【TS12-00UT】(2561565) 受注単位1,(2561565),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●フッ素樹脂チューブと接続します。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＳＵＳユニオンティ　適用チューブ径１２Ｘ１０【TS12-00UT】(2561565) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＳＵＳユニオンティ　適用チューブ径１２Ｘ１０【TS12-00UT】(2561565) 受注単位1,(2561565)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＳＵＳユニオンティ　適用チューブ径１２Ｘ１０【TS12-00UT】(2561565) 受注単位1[rn]
13-7178,,31152.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ 測量品【KM06-50K】(7965290) タジマ シムロンロッド軽巻 幅60mm 長さ50ｍ 発注単位1,工事用品\測量用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●芯材のガラスクロスは高密度織なので、引っ張りや裂けに強いです。<br>
●写真写りの良い目盛仕様です。<br>
●つや消しのテープ表面により乱反射しません。<br>
●テープロッドの巻取りが、スピーディーに行えます。<br>
●記録写真用に。<br>
●テープ幅(mm):60<br>
●テープ長さ(m):50<br>
●幅(mm):345<br>
●奥行(mm):230<br>
●高さ(mm):120<br>
●テープ厚(mm):0.7<br>
●テープ表面:タテ目盛20cmアカシロ、裏面:ヨコ目盛数字付　1mアカシロ<br>
●JIS1級<br>
●180度回転金具<br>
●テープ:ガラス繊維<br>
●ケース:ABS樹脂<br>
●事故の原因となりますので修理、分解、改造しないでください。<br>
●幼児の手の届かない所に保管してください。<br>
●製品仕様は予告なく変更する場合がございます。",■〒ＴＪＭデザイン/タジマ 測量品【KM06-50K】(7965290) タジマ シムロンロッド軽巻 幅60mm 長さ50ｍ 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ 測量品【KM06-50K】(7965290) タジマ シムロンロッド軽巻 幅60mm 長さ50ｍ 発注単位1,工事用品\測量用品。■〒ＴＪＭデザイン/タジマ 測量品【KM06-50K】(7965290) タジマ シムロンロッド軽巻 幅60mm 長さ50ｍ 発注単位1[rn]
13-7179,,37800.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒巴バルブ/巴【700Z-7E-40-S-E】(4954424) ７００Ｚ－７Ｅ　ＪＩＳ１０Ｋ　ＡＤＣ１２／ＳＣＳ１４／ＥＰＤＭ　　４０Ａ 受注単位1,工事用品\管工機材\バルブ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●コンパクト・軽量・高出力シリンダータイプです。<br>●スピードコントローラーを標準装備しています。<br>●空気配管接続部はNUMURマウントを採用しています。<br><br>●水処理・一般工業用。<br><br>●呼び径(A)：40<br>●呼び径(B)：1 1/2<br>●高さ(mm)：304<br>●L(mm)：45<br>●D(mm)：35<br>●質量(kg)：2.61<br>●d (mm)：80<br><br>●複作動式シリンダー式<br>●適用フランジ規格：JIS10K<br>●最高許容圧力：1.0MPa<br>●使用温度範囲：0～120℃<br>●連続使用温度範囲：0～100℃<br>●JIS B 2032適合品<br><br>●本体：アルミ(ADC12)<br>●弁体：ステンレス(SCS14)<br>●シートリング：ゴム(EPDM）<br>",『カード対応OK！』■〒巴バルブ/巴【700Z-7E-40-S-E】(4954424) ７００Ｚ&minus;７Ｅ　ＪＩＳ１０Ｋ　ＡＤＣ１２／ＳＣＳ１４／ＥＰＤＭ　　４０Ａ 受注単位1：クローバー資材館,『カード対応OK！』■〒巴バルブ/巴【700Z-7E-40-S-E】(4954424) ７００Ｚ&minus;７Ｅ　ＪＩＳ１０Ｋ　ＡＤＣ１２／ＳＣＳ１４／ＥＰＤＭ　　４０Ａ 受注単位1,工事用品\管工機材\バルブ。『カード対応OK！』■〒巴バルブ/巴【700Z-7E-40-S-E】(4954424) ７００Ｚ&minus;７Ｅ　ＪＩＳ１０Ｋ　ＡＤＣ１２／ＳＣＳ１４／ＥＰＤＭ　　４０Ａ 受注単位1[rn]
13-7180,,328.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ダイドーハント/ハント 建築金物【00046460】(7880430) ハント ＳＰ フィニッシュネイル ＦＮ－20 ＷＨ (白) 発注単位1,工事用品\土木作業・大工用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●頭径の小さい仕上釘です。<br>
●使いやすい少量タイプです。<br>
●家具・木工のボード張り、家具の組み立て、各種内装仕上打ちに。<br>
●幅(mm):1.05<br>
●全長(mm):21.3<br>
●色:白<br>
●足長(mm):20<br>
●規格:FN-20 WH<br>
●適合ネイル頭径×胴径(mm):1.9×1.05<br>
●針長さ5mm間隔、9色展開<br>
●鉄<br>
●電気亜鉛メッキ",■〒ダイドーハント/ハント 建築金物【00046460】(7880430) ハント ＳＰ フィニッシュネイル ＦＮ&minus;20 ＷＨ (白) 発注単位1：クローバー資材館,■〒ダイドーハント/ハント 建築金物【00046460】(7880430) ハント ＳＰ フィニッシュネイル ＦＮ&minus;20 ＷＨ (白) 発注単位1,工事用品\土木作業・大工用品。■〒ダイドーハント/ハント 建築金物【00046460】(7880430) ハント ＳＰ フィニッシュネイル ＦＮ&minus;20 ＷＨ (白) 発注単位1[rn]
13-7181,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005021236.jpg?fitin=700:700,402127.2000,,花・ガーデン・DIY > DIY・工具 > その他,↑#『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　ノンプリズムトータルステーション　ＴＳＳ－２００Ｓ【TSS-200S】(4106679) 受注単位1,工事用品\測量用品\セオドライト,"<font size=""4"" color=""#0033ff""><b>※こちらの商品は問屋運送便となります。ご入金確認後のお手配です。</b></font><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>""<br>●圧倒的なコストパフォーマンスを実現したハイスペックノンプリズム・トータルステーションです。<br>●座標、杭打ち、対辺、面積、REMなど多彩な応用測定が可能です。<br>●測距精度は±(2+2ppm×D）ｍｍと高精度（1素子ﾌﾟﾘｽﾞﾑ使用時）<br>●より正確な測量を実現する自動補正機構内蔵<br>●内蔵メモリーに約50,000点保存可能""",&uarr;#『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　ノンプリズムトータルステーション　ＴＳＳ&minus;２００Ｓ【TSS-200S】(4106679) 受注単位1：クローバー資材館,&uarr;#『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　ノンプリズムトータルステーション　ＴＳＳ&minus;２００Ｓ【TSS-200S】(4106679) 受注単位1,工事用品\測量用品\セオドライト。&uarr;#『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　ノンプリズムトータルステーション　ＴＳＳ&minus;２００Ｓ【TSS-200S】(4106679) 受注単位1[rn]
13-7182,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005112396.jpg?fitin=700:700,370.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆　　赤【7784】(3981851) 受注単位1,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●紛失しにくいショートサイズです。<br>●芯削り機能付です。",『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆　　赤【7784】(3981851) 受注単位1：クローバー資材館,『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆　　赤【7784】(3981851) 受注単位1,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆　　赤【7784】(3981851) 受注単位1[rn]
13-7183,,30120.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ【B40】(4756231) 自動レベル 受注単位1,工事用品\測量用品\オートレベル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●明るく視野の広い望遠鏡です。<br>●狭い場所でも使用可能です。<br>●IPx6<br>●正像<br>●JSIMA校正サービス対象<br>●対物レンズ有効径（mm）32<br><br><br>●倍率：24倍<br>●最短合焦距離(m)：0.3<br>●気泡管感度(mm)：10′/2<br>●縦(mm)：215ｘ130ｘ135<br>●質量(kg)：1.7<br>●補正範囲(′)：±15<br><br>●容器保護等級：IPX6<br>●JSIMA(日本測量機器工業会)検査書発行可(有料)<br>●1km往復標準偏差(mm)2.0<br>●視界1°25'<br>●分解力4.0<br>●スタジア比100<br>●水平目盛盤最小読取値1°<br>●三脚取付ネジ(inch)：5/8<br><br>●鋳物<br>",『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ【B40】(4756231) 自動レベル 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ【B40】(4756231) 自動レベル 受注単位1,工事用品\測量用品\オートレベル。『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ【B40】(4756231) 自動レベル 受注単位1[rn]
13-7184,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002810418.jpg?fitin=700:700,1432.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ　両面ネオロック２２巾５．５ｍ【ZS22-55BP  (22ﾊﾊﾞ5.5M)】(1097407) 受注単位1,工事用品\測量用品\コンベックス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●裏面は高さ測定に見やすい縦目盛です。",『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ　両面ネオロック２２巾５．５ｍ【ZS22-55BP  (22ﾊﾊﾞ5.5M)】(1097407) 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ　両面ネオロック２２巾５．５ｍ【ZS22-55BP  (22ﾊﾊﾞ5.5M)】(1097407) 受注単位1,工事用品\測量用品\コンベックス。『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ　両面ネオロック２２巾５．５ｍ【ZS22-55BP  (22ﾊﾊﾞ5.5M)】(1097407) 受注単位1[rn]
13-7185,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002825009.jpg?fitin=700:700,1984.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒サクラクレパス/サクラ　クレヨンマーカー　黒【GHY49BK】(3355586) 受注単位10,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ボタ落ちせず、ハケや筆が不要で上向きにでも書け、とっても便利です。<br>●キャップ不要のクレヨンタイプです。<br>●いろんな素材にマークチェックができ、こすって消せます。",『カード対応OK！』■〒サクラクレパス/サクラ　クレヨンマーカー　黒【GHY49BK】(3355586) 受注単位10：クローバー資材館,『カード対応OK！』■〒サクラクレパス/サクラ　クレヨンマーカー　黒【GHY49BK】(3355586) 受注単位10,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒サクラクレパス/サクラ　クレヨンマーカー　黒【GHY49BK】(3355586) 受注単位10[rn]
13-7186,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004394682.jpg?fitin=700:700,1016.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピーラインチョーク・ミニ巻【PL-CLMT】(3772101) 受注単位1,工事用品\測量用品\墨つぼ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●手のひらサイズの小型設計です。<br>●ボディーが透明で粉チョークの残量が確認しやすいです。<br>●密閉性が良く、粉もれしません。<br>●糸替え時に便利な糸通し棒付です。<br>●「パーフェクトかるこ」を標準装備しています。<br>●ステンレスフック付です。<br>●30g容量のタンクです。<br>●付属糸はピーラインチョーク・ミニ巻用糸です。（太さ0.8mm）",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピーラインチョーク・ミニ巻【PL-CLMT】(3772101) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピーラインチョーク・ミニ巻【PL-CLMT】(3772101) 受注単位1,工事用品\測量用品\墨つぼ。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピーラインチョーク・ミニ巻【PL-CLMT】(3772101) 受注単位1[rn]
