11-73201,http://tshop.r10s.jp/lamd/cabinet/04448482/imgrc0066038428.jpg?fitin=700:700,5818.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094,,"長さの測定、直角の確認やケガキ作業に使用する曲尺。
木材・石材・金属などの曲尺では困難だった大きな物の
測定やケガキ作業が出来ます。  

■精度
・直角度：100mmにつき0.1mm以下　　
・長さの許容差：＋-0.5mm以下  

■表目盛
・長枝：外目盛1m
・短枝：外目盛60cm  

■裏目盛
・長枝：外目盛3尺3寸
・短枝：外目盛2尺  

■形状：同厚 

■材質：ステンレス  

■サイズ：(約）1030×630×2.5mm 

■重量：（約）1102g 

【注意事項】
電気に触れる恐れのある場所では使用しないでください。",シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094,シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094[rn]
11-73270,,20761.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL3148A】(4796772)２レンジ小型絶縁抵抗計 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●手のひらサイズの小型、軽量2レンジメガです。<br>●電圧レンジ別に色分けをした、見やすいスケール目盛りです。<br>●測定スイッチを手元で操作可能なリモートスイッチ付測定プローブ標準装備です。<br>●CE規格品です。<br>●JISC1302:2002準拠品です。<br>●１００/２５０Ｖ切替式です。<br>●絶縁抵抗の測定。<br>●交流電圧(V):300<br>●定格測定電圧(V/MΩ):100/20、250/50<br>●最小表示(MΩ):0.02<br>●質量(g):340<br>●幅×奥行×高さ:137×40×90mm<br>●電源：単3乾電池（R6P）×4本（付属）<br>",『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL3148A】(4796772)２レンジ小型絶縁抵抗計 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL3148A】(4796772)２レンジ小型絶縁抵抗計 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL3148A】(4796772)２レンジ小型絶縁抵抗計 受注単位1[rn]
11-73271,,20761.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL3147A】(4796764)２レンジ小型絶縁抵抗計 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●手のひらサイズの小型、軽量2レンジメガです。<br>●電圧レンジ別に色分けをした、見やすいスケール目盛りです。<br>●測定スイッチを手元で操作可能なリモートスイッチ付測定プローブ標準装備です。<br>●CE規格品です。<br>●JISC1302:2002準拠品です。<br>●１２５/５００Ｖ切替式です。<br>●絶縁抵抗の測定。<br>●交流電圧(V):600<br>●定格測定電圧(V/MΩ):125/20、500/100<br>●最小表示(MΩ):0.02<br>●質量(g):340<br>●幅×奥行×高さ:137×40×90mm<br>●電源：単3乾電池（R6P）×4本（付属）<br>",『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL3147A】(4796764)２レンジ小型絶縁抵抗計 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL3147A】(4796764)２レンジ小型絶縁抵抗計 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL3147A】(4796764)２レンジ小型絶縁抵抗計 受注単位1[rn]
11-73272,,462.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL7066A】(4796896)測定コード 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1110（アナログテスタ）、1009.1011.1012（デジタルマルチメータ）、テスタ付クランプ用です。<br>●テスター用測定コードです。<br>●対応機種:MODEL1009、KEW1012、MODEL1110、KEW2046R、MODEL2608A<br>●全長(mm):1100<br>●質量(g):86<br>●プラグ部:φ4<br>",『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL7066A】(4796896)測定コード 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL7066A】(4796896)測定コード 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL7066A】(4796896)測定コード 受注単位1[rn]
11-73273,,111281.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）グッドマン/グッドマン【TX2003】(4808606)ＴＤＲケーブル測長機ＴＸ２００３ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ケーブルの全長や障害箇所までの距離と内容を簡単操作で瞬時に診断・測長ができる第三のテスターです。<br>●ドラムの残量やケーブルの敷設長を簡単計測<br>●断線・短絡・地絡・絶縁不良・分岐・端末までの距離を測定<br>●探索距離(km):6<br>●質量(g):350<br>●幅×奥行×高さ：90×37×165mm<br>●電源:アルカリ単3乾電池×4本（付属）<br>●測長・診断<br>●ABS PLA<br>",『カード対応OK！』■〒（株）グッドマン/グッドマン【TX2003】(4808606)ＴＤＲケーブル測長機ＴＸ２００３ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）グッドマン/グッドマン【TX2003】(4808606)ＴＤＲケーブル測長機ＴＸ２００３ 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒（株）グッドマン/グッドマン【TX2003】(4808606)ＴＤＲケーブル測長機ＴＸ２００３ 受注単位1[rn]
11-73274,,57672.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW5410】(4796551)漏電遮断器テスタ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●漏電ブレーカの良否判定に最適です。<br>●防塵防滴IEC60529(IP54)に準拠しています。<br>●バックライト機能付です。<br>●ELCBの良否判定<br>●測定項目:動作時間、感度電流、AC電圧<br>●質量(g):960<br>●幅×奥行×高さ:167×89×186mm<br>●電源：単3乾電池（R6P）×8本（付属）<br>",『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW5410】(4796551)漏電遮断器テスタ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW5410】(4796551)漏電遮断器テスタ 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW5410】(4796551)漏電遮断器テスタ 受注単位1[rn]
11-73275,,15500.8000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW5720】(4796586)伸縮式高低圧用検電器 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●伸縮式の高低圧用検電器です。<br>●伸縮パイプを縮めた状態で「低圧」、伸ばした状態で「高圧」を検電します。<br>●使用前に内蔵電池、内部回路のチェックが可能です。<br>●高圧の検電チェック。<br>●直流電圧(V):-<br>●交流電圧(V):80～7000<br>●質量(g):230<br>●幅×奥行×高さ:35×35×256～717mm<br>●電源：単4乾電池（R03）×2本（付属）<br>",『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW5720】(4796586)伸縮式高低圧用検電器 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW5720】(4796586)伸縮式高低圧用検電器 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW5720】(4796586)伸縮式高低圧用検電器 受注単位1[rn]
11-73276,,3701.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL7103A】(4796900)リモートスイッチ付測定プローブ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●絶縁抵抗計用プローブです。<br>●3321Aシリーズ（3レンジ）、3315シリーズ（4レンジ）、3211シリーズ（1レンジ）に対応しています。<br>●高圧絶縁抵抗の測定。<br>●対応機種:KEW3021、KEW3022、KEW3023、MODEL3211、MODEL3212、MODEL3213、MODEL3214、MODEL3215、MODEL3315、MODEL3321A、MODEL6017、MODEL6018<br>●質量(g):170<br>",『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL7103A】(4796900)リモートスイッチ付測定プローブ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL7103A】(4796900)リモートスイッチ付測定プローブ 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL7103A】(4796900)リモートスイッチ付測定プローブ 受注単位1[rn]
11-73277,,23068.8000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW3021】(4796471)デジタル４レンジ絶縁抵抗計 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●多機能デジタル４レンジメガです。<br>●絶縁抵抗測定・導通測定・電圧測定の機能を1台に凝縮しました。<br>●コンパレータ機能:表示とブザーで良否の判定が可能です。<br>●メモリー機能付きです。<br>●セーフティーロック機能付きです。<br>●絶縁抵抗の測定。<br>●交流電圧(V):600<br>●定格測定電圧(V/MΩ):125/200、250/2000、500/2000、1000/2000<br>●最小表示(MΩ):0.1<br>●質量(g):600<br>●幅×奥行×高さ:158×70×105mm<br>●電源：単3乾電池（R6P）×6本（付属）<br>",『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW3021】(4796471)デジタル４レンジ絶縁抵抗計 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW3021】(4796471)デジタル４レンジ絶縁抵抗計 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW3021】(4796471)デジタル４レンジ絶縁抵抗計 受注単位1[rn]
11-73278,,2460.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒長谷川電機工業（株）/長谷川 【HTE-610L】(4695569)交流用低圧検電器 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●LEDライト付きです。<br>●被覆電線の上からでも検電可能です。<br>●先端検知部には導電性ゴムを使用しています。<br>●直流電圧(V):-<br>●交流電圧(V):50～600<br>●質量（g)：22<br>●幅×奥行×高さ:22×24.5×130mm<br>●電源:ボタン型アルカリ電池(LR44)×2個（付属）<br>●運賃別途<br>",『カード対応OK！』■〒長谷川電機工業（株）/長谷川 【HTE-610L】(4695569)交流用低圧検電器 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒長谷川電機工業（株）/長谷川 【HTE-610L】(4695569)交流用低圧検電器 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒長谷川電機工業（株）/長谷川 【HTE-610L】(4695569)交流用低圧検電器 受注単位1[rn]
11-73279,,24784.8000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW3431】(4796501)３レンジアナログ絶縁抵抗計 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●スピーディーな測定に役立つ機能を搭載した、軽量コンパクトサイズ絶縁抵抗計です。<br>●見やすいスケール目盛と状態をLED色で確認できる機能を搭載、直流/交流オート電圧測定も可能です。<br>●リモートスイッチ付測定コード、取り出し、収納が簡単な携帯用ケースが付属しています。<br>●絶縁抵抗の測定。<br>●交流電圧(V):600<br>●定格測定電圧(V/MΩ):250/200、500/200、1000/2000<br>●最小表示(MΩ):0.2<br>●質量(g):430<br>●幅×奥行×高さ：156×46×97mm<br>●電源：単3乾電池（R6P）×4本（付属）<br>",『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW3431】(4796501)３レンジアナログ絶縁抵抗計 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW3431】(4796501)３レンジアナログ絶縁抵抗計 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW3431】(4796501)３レンジアナログ絶縁抵抗計 受注単位1[rn]
11-73280,,11555.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW5702】(4796578)高低圧用検電器 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●音と光で高低圧の検電可能です。<br>●超小型軽量設計で携帯に便利。<br>●検知部を充電部に接触させるだけの簡単測定。<br>●直流電圧(V):-<br>●交流電圧(V):80～7000<br>●質量(g):50<br>●幅×奥行×高さ:23.8×23.8×198mm<br>●電源：アルカリボタン電池（ＬＲ44）×2個（付属）<br>",『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW5702】(4796578)高低圧用検電器 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW5702】(4796578)高低圧用検電器 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW5702】(4796578)高低圧用検電器 受注単位1[rn]
11-73281,,51758.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒シムコジャパン（株）/ＳＩＭＣＯ【FMX-004】(4856333)静電気測定器 ＦＭＸ－００４ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●帯電が感覚で分かるバーグラフ表示です。<br>●イオナイザーのイオンバランス測定ができます。<br>●インラインでの連続測定及びデータロギングが可能です。<br>●連続測定、測定データを外部に送れるアナログ出力付です。<br>●静電気発生場所の特定に。<br>●測定範囲(kV):0～30<br>●幅(mm):73<br>●奥行(mm):25<br>●高さ(mm):115<br>●質量(g):140<br>●電源:積層型9V乾電池（006P）×1本（付属）<br>●測定精度:±10%（指示値）<br>●測定距離:25mm±0.5<br>●イオンバランスプレート<br>●専用アース線 1m<br>●ソフトケース<br>",『カード対応OK！』■〒シムコジャパン（株）/ＳＩＭＣＯ【FMX-004】(4856333)静電気測定器 ＦＭＸ&minus;００４ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒シムコジャパン（株）/ＳＩＭＣＯ【FMX-004】(4856333)静電気測定器 ＦＭＸ&minus;００４ 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒シムコジャパン（株）/ＳＩＭＣＯ【FMX-004】(4856333)静電気測定器 ＦＭＸ&minus;００４ 受注単位1[rn]
11-73282,,25376.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）グッドマン/グッドマン【701K-G】(4808550)心線対照機７０１Ｋ－Ｇトーンプローブセット 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●非接触で心線対照が可能な定番モデルです。<br>●電話線や無電圧ケーブルの心線対象。<br>●導通確認<br>●ブレスト電源供給<br>●Ｌ1・Ｌ2極性確認<br>●探索距離(km):15<br>●瞬間耐圧:送信機:DC 150V<br>●質量(g):273<br>●幅×奥行×高さ：57×32×64mm（送信機）、54×29×228mm（受信機）<br>●電源：積層型9V乾電池(006P)×2個（付属）<br>●ABS<br>●モジュールジャック（オスメス）<br>●先端チップ<br>●専用ケース<br>",『カード対応OK！』■〒（株）グッドマン/グッドマン【701K-G】(4808550)心線対照機７０１Ｋ&minus;Ｇトーンプローブセット 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）グッドマン/グッドマン【701K-G】(4808550)心線対照機７０１Ｋ&minus;Ｇトーンプローブセット 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒（株）グッドマン/グッドマン【701K-G】(4808550)心線対照機７０１Ｋ&minus;Ｇトーンプローブセット 受注単位1[rn]
11-73283,,47520.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』##∀■〒（株）グッドマン/グッドマン【500XPK】(4808533)心線対照機５００ＸＰＫデジタルプローブセット 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br><br>●ＡＤＳＬやＬＡＮ回線の強ノイズ環境でもクリーンなトーンだけを受信できる心線対照機です。<br>●コンピューターノイズにもクリーンな受信ができるモデルです。<br>●電話線や無電圧ケーブルの心線対象。<br>●導通確認<br>●ブレスト電源供給<br>●Ｌ1・Ｌ2極性確認<br>●探索距離(km):15<br>●瞬間耐圧:送信機：DC 150V<br>●質量(g):278<br>●幅×奥行×高さ：57×32×64mm（送信機）、47×35×215mm（受信機）<br>●電源：積層型9V乾電池(006P)×2個（付属）<br>●ABS<br>●イヤホン<br>●専用ケース<br>",『カード対応OK！』##&forall;■〒（株）グッドマン/グッドマン【500XPK】(4808533)心線対照機５００ＸＰＫデジタルプローブセット 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』##&forall;■〒（株）グッドマン/グッドマン【500XPK】(4808533)心線対照機５００ＸＰＫデジタルプローブセット 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』##&forall;■〒（株）グッドマン/グッドマン【500XPK】(4808533)心線対照機５００ＸＰＫデジタルプローブセット 受注単位1[rn]
11-73284,,46137.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL6018】(4796888)アナログ式絶縁・接地抵抗計 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●メガとアースが1つになったオールインワン測定器です。<br>●絶縁及び接地抵抗の測定に。<br>●接地抵抗(Ω):12/120/1200<br>●地電圧(V):12<br>●最小表示(MΩ):0.05<br>●交流電圧(V):600<br>●定格測定電圧(V/MΩ):250/50、500/100、1000/2000<br>●質量(g):1000<br>●幅×奥行×高さ:183×100×130mm<br>●電源：単3乾電池（R6P）×8本（付属）<br>",『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL6018】(4796888)アナログ式絶縁・接地抵抗計 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL6018】(4796888)アナログ式絶縁・接地抵抗計 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL6018】(4796888)アナログ式絶縁・接地抵抗計 受注単位1[rn]
11-73285,,59979.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW6022L】(4796608)デジタル絶縁・接地抵抗計（Ｌ型プローブモデル） 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●小型・軽量設計で長時間の作業や持ち運びに便利です。<br>●交流電圧(真の実効値)および直流電圧を自動判別して測定します。<br>●交流電圧(V):600<br>●定格測定電圧(V/MΩ):100/125/250/500/1000<br>●最小表示(MΩ):0.100<br>●地電圧(V):600<br>●接地抵抗(Ω):20/200/2000<br>●タイプ：メモリ機能付<br>●質量(g):900<br>●幅×奥行×高さ：184×84×133mm<br>●電源：単3乾電池（R6P）×6本（付属）<br>",『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW6022L】(4796608)デジタル絶縁・接地抵抗計（Ｌ型プローブモデル） 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW6022L】(4796608)デジタル絶縁・接地抵抗計（Ｌ型プローブモデル） 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW6022L】(4796608)デジタル絶縁・接地抵抗計（Ｌ型プローブモデル） 受注単位1[rn]
11-73286,,6169.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW8033】(4796624)デジタル検相器 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●相順および欠相をLEDとブザーでチェック可能なデジタル検相器です。<br>●ワニグチとプローブの付替えが可能で様々な現場に対応できます。<br>●動作電圧範囲:AC200～480V<br>●質量(g):200<br>●幅×奥行×高さ：59×23×82mm<br>●電源：不要<br>●AC200～４８０V　200Vで60分以内、480Vで4分以内<br>",『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW8033】(4796624)デジタル検相器 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW8033】(4796624)デジタル検相器 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW8033】(4796624)デジタル検相器 受注単位1[rn]
11-73287,,3302.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODELDX-04】(4796926)低圧用検電器 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●裸線・被覆線対応で100V・200Vの判別も可能です。<br>●4段階のLED表示及び音で検電の確認が可能です。<br>●裸線・被覆線の切り替えタイプです。<br>●低圧の検電チェック。<br>●直流電圧(V):-<br>●交流電圧(V):80～600<br>●質量(g):35<br>●幅×奥行×高さ:28×21.5×147mm<br>●電源：不要<br>",『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODELDX-04】(4796926)低圧用検電器 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODELDX-04】(4796926)低圧用検電器 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODELDX-04】(4796926)低圧用検電器 受注単位1[rn]
11-73288,,61516.8000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）グッドマン/グッドマン【FC200】(4808584)ＴＤＲケーブル測長機ＦＣ２００フォルトキャスター 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ボタンを押すだけでケーブル長と事故点の距離測定ができます。<br>●断線・短絡箇所までの距離測定<br>●探索距離(km):2<br>●質量(g):335<br>●幅×奥行×高さ：90×37×165mm<br>●電源:アルカリ単3乾電池×4本（付属）<br>●ABS PLA<br>",『カード対応OK！』■〒（株）グッドマン/グッドマン【FC200】(4808584)ＴＤＲケーブル測長機ＦＣ２００フォルトキャスター 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）グッドマン/グッドマン【FC200】(4808584)ＴＤＲケーブル測長機ＦＣ２００フォルトキャスター 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒（株）グッドマン/グッドマン【FC200】(4808584)ＴＤＲケーブル測長機ＦＣ２００フォルトキャスター 受注単位1[rn]
