11-28101,,864.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒新亀製作所/サンフラッグ 電動工具【ASV-2045M-2-45】(7768079) サンフラッグ ブロンズ両頭ビット10本組 ＃2×45 発注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●精密性に優れた特殊表面加工により、ビスの食いつきが抜群です。<br>
●ねばり強く、耐摩耗性・耐衝撃性に優れています。<br>
●充電・電動ドライバー用ビットとして。<br>
●刃先:[[(+)]]2<br>
●全長(mm):45<br>
●入数(本):10<br>
●シャンク径:6.35mm<br>
●刃先:マグネット入り<br>
●特殊鋼",■〒新亀製作所/サンフラッグ 電動工具【ASV-2045M-2-45】(7768079) サンフラッグ ブロンズ両頭ビット10本組 ＃2&times;45 発注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得■〒新亀製作所/サンフラッグ 電動工具【ASV-2045M-2-45】(7768079) サンフラッグ ブロンズ両頭ビット10本組 ＃2&times;45 発注単位1,作業用品\ドライバービット。■〒新亀製作所/サンフラッグ 電動工具【ASV-2045M-2-45】(7768079) サンフラッグ ブロンズ両頭ビット10本組 ＃2&times;45 発注単位1[rn]
11-28163,,2143.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アサダ【CT528】(7596944) チューブカッタＢＢ２８ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ローラとカッタ刃にベアリングを採用し、切断時の抵抗を無くして切断が困難な薄肉ＳＵＳ管もラクに切断できます。<br>●精度が狂いにくい高剛性ボディを採用しています。<br><br>●薄肉ステンレス・銅・黄銅・アルミ・薄肉軟銅管の精密切断に。<br><br>●全長(mm)：71<br>●切断能力インチ（ミリ）：1/8～1 1/8（3～28）<br>●最大肉厚(mm)：2.5<br>●質量(g)：142<br><br>●標準替刃：ＣＴ591<br>●切断能力φ3～φ28ｍｍ<br><br>",『カード対応OK！』■〒アサダ【CT528】(7596944) チューブカッタＢＢ２８ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒アサダ【CT528】(7596944) チューブカッタＢＢ２８ 受注単位1,作業用品\水道・空調配管用工具\チューブカッター。『カード対応OK！』■〒アサダ【CT528】(7596944) チューブカッタＢＢ２８ 受注単位1[rn]
11-28164,,26526.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/ＲＩＤＧＥ【38053】(4950968) ヘビーデューティベンダー　６０６Ｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●２段階式により、ハンドルを交差させずに90～180°曲げることができます。<br>●長めのハンドルによりテコ比が向上しベンディングフォームのロールダイスにより、曲げる時に力が要りません。<br><br>●チタン、鋼、ステンレス管の曲げ加工に。<br><br>●タイプ：ミリ用<br>●適用管径：6<br>●曲げ半径R(mm)：16<br>●寸法(mm)左手：-<br>●寸法(mm)右手：-<br>●質量(kg)：0.76<br><br>●曲げ角度：90～180°<br>●全長：340mm<br><br>",『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/ＲＩＤＧＥ【38053】(4950968) ヘビーデューティベンダー　６０６Ｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/ＲＩＤＧＥ【38053】(4950968) ヘビーデューティベンダー　６０６Ｍ 受注単位1,作業用品\水道・空調配管用工具\チューブベンダー。『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/ＲＩＤＧＥ【38053】(4950968) ヘビーデューティベンダー　６０６Ｍ 受注単位1[rn]
11-28165,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003823159.jpg?fitin=700:700,2707.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　被覆銅管カッター【TC107NP】(3665861) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●切りくずがなく、切れ味抜群です。切り口スッキリです。<br>●カッターホイールの材質は、特殊合金鋼を採用し最適な熱処理により、さらに切れ味と強靭性を実現しました。",『カード対応OK！』■〒スーパーツール/スーパー　被覆銅管カッター【TC107NP】(3665861) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　被覆銅管カッター【TC107NP】(3665861) 受注単位1,作業用品\水道・空調配管用工具\チューブカッター。『カード対応OK！』■〒スーパーツール/スーパー　被覆銅管カッター【TC107NP】(3665861) 受注単位1[rn]
11-28166,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003824292.jpg?fitin=700:700,3650.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＭＣＣコーポレーション/ＭＣＣ　チューブカッタ　３２【TC32】(3673839) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ベアリングローラー採用により軽く切断できます。",『カード対応OK！』■〒ＭＣＣコーポレーション/ＭＣＣ　チューブカッタ　３２【TC32】(3673839) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ＭＣＣコーポレーション/ＭＣＣ　チューブカッタ　３２【TC32】(3673839) 受注単位1,作業用品\水道・空調配管用工具\チューブカッター。『カード対応OK！』■〒ＭＣＣコーポレーション/ＭＣＣ　チューブカッタ　３２【TC32】(3673839) 受注単位1[rn]
11-28167,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004379673.jpg?fitin=700:700,6415.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブベンダークイックレバー式１０ｍｍ用【TTBL-10M】(3894720) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●180°曲げ加工時、腕が交差せず力が入りやすいです。<br>●右手レバーは2段階の切替式です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブベンダークイックレバー式１０ｍｍ用【TTBL-10M】(3894720) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブベンダークイックレバー式１０ｍｍ用【TTBL-10M】(3894720) 受注単位1,(3894720)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブベンダークイックレバー式１０ｍｍ用【TTBL-10M】(3894720) 受注単位1[rn]
11-28168,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005150568.jpg?fitin=700:700,3508.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ロブテックス/エビ　チューブカッター　ステンレス管用【TC32S】(3429164) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ステンレス管の切断（丸刃）、バリ取り（面取り刃）が1台でできます。<br>●スペア用替刃が１枚付いています。<br>●特殊アルミ合金製で軽く、パイプ切断が簡単にできます。<br>●ノブにスペア用替刃付き（ステンレス用）です。",『カード対応OK！』■〒ロブテックス/エビ　チューブカッター　ステンレス管用【TC32S】(3429164) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ロブテックス/エビ　チューブカッター　ステンレス管用【TC32S】(3429164) 受注単位1,作業用品\水道・空調配管用工具\チューブカッター。『カード対応OK！』■〒ロブテックス/エビ　チューブカッター　ステンレス管用【TC32S】(3429164) 受注単位1[rn]
11-28169,,22674.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒文化貿易工業/ＢＢＫ【RB-147W】(7732007) ラチェットベンダーセット 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●アルミ製ホイールを採用しています。アルミ製のため頑丈で、加工後銅管が食い込んで外れにくい問題を解消します。<br>●逆曲げ用アタッチメントを標準装備しています。<br>●ピストン部に90°曲げの目盛り付です。<br>●スライド式シューバーにより、1つのシューバーで5サイズの加工が可能となりました。<br><br>●なまし銅管専用。<br><br>●タイプ：インチ用<br>●適用管径：1/4、3/8、1/2、5/8、3/4<br><br>●曲げ角度：0～90°<br><br>",『カード対応OK！』■〒文化貿易工業/ＢＢＫ【RB-147W】(7732007) ラチェットベンダーセット 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒文化貿易工業/ＢＢＫ【RB-147W】(7732007) ラチェットベンダーセット 受注単位1,作業用品\水道・空調配管用工具\チューブベンダー。『カード対応OK！』■〒文化貿易工業/ＢＢＫ【RB-147W】(7732007) ラチェットベンダーセット 受注単位1[rn]
11-28170,http://tshop.r10s.jp/clover9608/cabinet/pb8/t010005436138.jpg?fitin=700:700,1236.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブカッター　（３～３２ｍｍ）【GFC-111N】(4162676) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●薄刃強力タイプで優れた切れ味です。<br>●ノブにスペア用替刃付（GFC-111NC 1枚）です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブカッター　（３～３２ｍｍ）【GFC-111N】(4162676) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブカッター　（３～３２ｍｍ）【GFC-111N】(4162676) 受注単位1,(4162676)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブカッター　（３～３２ｍｍ）【GFC-111N】(4162676) 受注単位1[rn]
11-28171,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002864023.jpg?fitin=700:700,15065.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　チューブベンダー（適合チューブ外径：１２．７０）【TB398W】(1780883) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ハンドル部は特殊合金鋼、鍛造品で強靱です。",『カード対応OK！』■〒スーパーツール/スーパー　チューブベンダー（適合チューブ外径：１２．７０）【TB398W】(1780883) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　チューブベンダー（適合チューブ外径：１２．７０）【TB398W】(1780883) 受注単位1,作業用品\水道・空調配管用工具\チューブベンダー。『カード対応OK！』■〒スーパーツール/スーパー　チューブベンダー（適合チューブ外径：１２．７０）【TB398W】(1780883) 受注単位1[rn]
11-28172,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002864023.jpg?fitin=700:700,8433.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　チューブベンダー（適合チューブ外径：６）【TB394M】(1780808) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ハンドル部は特殊合金鋼、鍛造品で強靱です。",『カード対応OK！』■〒スーパーツール/スーパー　チューブベンダー（適合チューブ外径：６）【TB394M】(1780808) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　チューブベンダー（適合チューブ外径：６）【TB394M】(1780808) 受注単位1,作業用品\水道・空調配管用工具\チューブベンダー。『カード対応OK！』■〒スーパーツール/スーパー　チューブベンダー（適合チューブ外径：６）【TB394M】(1780808) 受注単位1[rn]
11-28173,,3954.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTB-1/4W】(7630638) チューブベンダー　１／４ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●軟質銅管、軟粘質アルミ管を正確に曲げます。<br>●ハンドル部は炭素鋼の鍛造品で強靱です。<br><br>●軟質銅管・真鍮・軟粘質アルミ管・なましステン鋼管の曲げ加工。<br><br>●タイプ：インチ用<br>●適用管径：1/4<br>●曲げ半径R(mm)：14.3<br>●寸法(mm)左手：225<br>●寸法(mm)右手：202<br>●質量(kg)：0.63<br><br>●インチサイズ用<br>●曲げ角度：0～180°<br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTB-1/4W】(7630638) チューブベンダー　１／４ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTB-1/4W】(7630638) チューブベンダー　１／４ 受注単位1,作業用品\水道・空調配管用工具\チューブベンダー。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTB-1/4W】(7630638) チューブベンダー　１／４ 受注単位1[rn]
11-28174,,6929.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTB-1/2W】(7630611) チューブベンダー　１／２ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●軟質銅管、軟粘質アルミ管を正確に曲げます。<br>●ハンドル部は炭素鋼の鍛造品で強靱です。<br><br>●軟質銅管・真鍮・軟粘質アルミ管・なましステン鋼管の曲げ加工。<br><br>●タイプ：インチ用<br>●適用管径：1/2<br>●曲げ半径R(mm)：38.0<br>●寸法(mm)左手：440<br>●寸法(mm)右手：398<br>●質量(kg)：1.75<br><br>●インチサイズ用<br>●曲げ角度：0～180°<br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTB-1/2W】(7630611) チューブベンダー　１／２ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTB-1/2W】(7630611) チューブベンダー　１／２ 受注単位1,作業用品\水道・空調配管用工具\チューブベンダー。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTB-1/2W】(7630611) チューブベンダー　１／２ 受注単位1[rn]
11-28175,,5880.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTB-3/8W】(7630646) チューブベンダー　３／８ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●軟質銅管、軟粘質アルミ管を正確に曲げます。<br>●ハンドル部は炭素鋼の鍛造品で強靱です。<br><br>●軟質銅管・真鍮・軟粘質アルミ管・なましステン鋼管の曲げ加工。<br><br>●タイプ：インチ用<br>●適用管径：3/8<br>●曲げ半径R(mm)：23.8<br>●寸法(mm)左手：300<br>●寸法(mm)右手：293<br>●質量(kg)：0.92<br><br>●インチサイズ用<br>●曲げ角度：0～180°<br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTB-3/8W】(7630646) チューブベンダー　３／８ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTB-3/8W】(7630646) チューブベンダー　３／８ 受注単位1,作業用品\水道・空調配管用工具\チューブベンダー。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTB-3/8W】(7630646) チューブベンダー　３／８ 受注単位1[rn]
11-28176,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002829377.jpg?fitin=700:700,13143.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒インペリアル/インペリアル　チュ－ブベンダ－３／１６【364-FH-03】(2488116) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●深い溝のベンディングホイールにより、チューブ肉厚の変化が少なく小さい曲げ半径での仕上がりが可能です。<br>●曲げ初め角度が90°スタートのため、軽い力で曲げ角度も正確です。",『カード対応OK！』■〒インペリアル/インペリアル　チュ&minus;ブベンダ&minus;３／１６【364-FH-03】(2488116) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒インペリアル/インペリアル　チュ&minus;ブベンダ&minus;３／１６【364-FH-03】(2488116) 受注単位1,作業用品\水道・空調配管用工具\チューブベンダー。『カード対応OK！』■〒インペリアル/インペリアル　チュ&minus;ブベンダ&minus;３／１６【364-FH-03】(2488116) 受注単位1[rn]
11-28177,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002829379.jpg?fitin=700:700,11677.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒インペリアル/インペリアル　チューブベンダー１０ｍｍ【364-FHAM10】(1236300) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●深い溝のベンディングホイールにより、チューブ肉厚の変化が少なく小さい曲げ半径での仕上がりが可能です。<br>●コンパクト、軽量で本体は頑健です。",『カード対応OK！』■〒インペリアル/インペリアル　チューブベンダー１０ｍｍ【364-FHAM10】(1236300) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒インペリアル/インペリアル　チューブベンダー１０ｍｍ【364-FHAM10】(1236300) 受注単位1,作業用品\水道・空調配管用工具\チューブベンダー。『カード対応OK！』■〒インペリアル/インペリアル　チューブベンダー１０ｍｍ【364-FHAM10】(1236300) 受注単位1[rn]
11-28178,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002829378.jpg?fitin=700:700,11180.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒インペリアル/インペリアル　チューブベンダー１／４【364-FHA04 (1/4)】(1236369) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●深い溝のベンディングホイールにより、チューブ肉厚の変化が少なく小さい曲げ半径での仕上がりが可能です。<br>●曲げ初め角度が90°スタートのため、軽い力で曲げ角度も正確です。",『カード対応OK！』■〒インペリアル/インペリアル　チューブベンダー１／４【364-FHA04 (1/4)】(1236369) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒インペリアル/インペリアル　チューブベンダー１／４【364-FHA04 (1/4)】(1236369) 受注単位1,作業用品\水道・空調配管用工具\チューブベンダー。『カード対応OK！』■〒インペリアル/インペリアル　チューブベンダー１／４【364-FHA04 (1/4)】(1236369) 受注単位1[rn]
11-28179,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010002803442.jpg?fitin=700:700,4707.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブベンダー　６ｍｍ　ステンレス用【GFB-S6M (ｽﾃﾝﾚｽﾖｳ)】(1256343) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●軟質銅管・鉄管・ステンレス管の薄肉のチューブをスムーズに180°まで曲げ加工ができます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブベンダー　６ｍｍ　ステンレス用【GFB-S6M (ｽﾃﾝﾚｽﾖｳ)】(1256343) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブベンダー　６ｍｍ　ステンレス用【GFB-S6M (ｽﾃﾝﾚｽﾖｳ)】(1256343) 受注単位1,(1256343)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブベンダー　６ｍｍ　ステンレス用【GFB-S6M (ｽﾃﾝﾚｽﾖｳ)】(1256343) 受注単位1[rn]
11-28180,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002864023.jpg?fitin=700:700,8433.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　チューブベンダー（適合チューブ外径：６．３５）【TB394W】(1780859) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ハンドル部は特殊合金鋼、鍛造品で強靱です。",『カード対応OK！』■〒スーパーツール/スーパー　チューブベンダー（適合チューブ外径：６．３５）【TB394W】(1780859) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　チューブベンダー（適合チューブ外径：６．３５）【TB394W】(1780859) 受注単位1,作業用品\水道・空調配管用工具\チューブベンダー。『カード対応OK！』■〒スーパーツール/スーパー　チューブベンダー（適合チューブ外径：６．３５）【TB394W】(1780859) 受注単位1[rn]
11-28181,,3954.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTB-6M】(7630662) チューブベンダー　６ｍｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●軟質銅管、軟粘質アルミ管を正確に曲げます。<br>●ハンドル部は炭素鋼の鍛造品で強靱です。<br><br>●軟質銅管・真鍮・軟粘質アルミ管・なましステン鋼管の曲げ加工。<br><br>●タイプ：ミリ用<br>●適用管径：6<br>●曲げ半径R(mm)：14.3<br>●寸法(mm)左手：225<br>●寸法(mm)右手：202<br>●質量(kg)：0.63<br><br>●ミリサイズ用<br>●曲げ角度：0～180°<br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTB-6M】(7630662) チューブベンダー　６ｍｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTB-6M】(7630662) チューブベンダー　６ｍｍ 受注単位1,作業用品\水道・空調配管用工具\チューブベンダー。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTB-6M】(7630662) チューブベンダー　６ｍｍ 受注単位1[rn]
11-28182,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833214.jpg?fitin=700:700,4848.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　４ヘッドチューブベンダー４サイズ対応グラスファイバー入強化プラスチック【TB5681】(1780913) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●1丁で4サイズの曲げ加工ができます。<br>●グラスファイバー入強化プラスチック製です。",『カード対応OK！』■〒スーパーツール/スーパー　４ヘッドチューブベンダー４サイズ対応グラスファイバー入強化プラスチック【TB5681】(1780913) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　４ヘッドチューブベンダー４サイズ対応グラスファイバー入強化プラスチック【TB5681】(1780913) 受注単位1,作業用品\水道・空調配管用工具\チューブベンダー。『カード対応OK！』■〒スーパーツール/スーパー　４ヘッドチューブベンダー４サイズ対応グラスファイバー入強化プラスチック【TB5681】(1780913) 受注単位1[rn]
11-28183,,16658.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒インペリアル【664-FH-6MM】(4957911) インペリアル　ステンレス・銅管用チューブベンダー６ｍｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ステンレス管（肉厚1mm以下）の曲げ加工も可能です。<br>●可変式ハンドルでその時のベストポジションでベンディングが可能です。<br>●シュー（押さえ）部分にローラーを装備する事により摩擦が低減され、楽な曲げ加工が可能です。<br>●フックは可動式で配管のセッティングが容易に行えます。<br>●バイスに固定する事ができます。<br><br>●銅管、ステンレス管の曲げ加工に。<br><br>●タイプ：ミリ用<br>●適用管径：6<br>●曲げ半径R(mm)：15<br>●寸法(mm)左手：255<br>●寸法(mm)右手：223<br>●全長(mm)：275<br>●重量(kg)：0.55<br><br>●曲げ角度：0～180°<br>●曲げ可能肉厚：1mm以下<br><br>",『カード対応OK！』■〒インペリアル【664-FH-6MM】(4957911) インペリアル　ステンレス・銅管用チューブベンダー６ｍｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒インペリアル【664-FH-6MM】(4957911) インペリアル　ステンレス・銅管用チューブベンダー６ｍｍ 受注単位1,作業用品\水道・空調配管用工具\チューブベンダー。『カード対応OK！』■〒インペリアル【664-FH-6MM】(4957911) インペリアル　ステンレス・銅管用チューブベンダー６ｍｍ 受注単位1[rn]
