16-23201,,19008.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90×125．5～187ｃｍピンク 発注単位1,オフィス住設用品\防災・防犯用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●自由に高さを変えられる伸縮式のつい立てで、組み立て不要ですぐに使用できます。<br>
●ストッパー付キャスターで移動・設置も簡単にできます。<br>
●幅×奥行×高さ(mm):900×400×1290～1870<br>
●フレーム：スチールパイプ（粉体塗装）<br>
●布：ポリエステル100％（帝人ファイバーエコペット）",■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90&times;125．5～187ｃｍピンク 発注単位1：クローバー資材館,■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90&times;125．5～187ｃｍピンク 発注単位1,オフィス住設用品\防災・防犯用品。■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90&times;125．5～187ｃｍピンク 発注単位1[rn]
16-23272,,1536.8000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【CM6012-1B】(7679297) 粘着クリーンマット　６００Ｘ１２００ＭＭ　ブルー　１シート 受注単位1,オフィス住設用品\床材用品\クリーンマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●汚れたフィルムをはがすだけでいつでも清潔な環境にすることができます。<br>●連番タブ付でマットの残数の確認が容易です。<br><br><br>●色：ブルー<br>●幅(mm)：600<br>●長さ(mm)：1200<br>●厚み(mm)：1.6<br><br>●1シート：フィルム30枚<br>●フィルム厚み：50μm<br><br>●フィルム：低密度ポリエチレン（LDPE）<br>●粘着剤：水性アクリル乳酸<br>",【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【CM6012-1B】(7679297) 粘着クリーンマット　６００Ｘ１２００ＭＭ　ブルー　１シート 受注単位1：クローバー資材館,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【CM6012-1B】(7679297) 粘着クリーンマット　６００Ｘ１２００ＭＭ　ブルー　１シート 受注単位1,オフィス住設用品\床材用品\クリーンマット。【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【CM6012-1B】(7679297) 粘着クリーンマット　６００Ｘ１２００ＭＭ　ブルー　１シート 受注単位1[rn]
16-23273,,10497.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【CM6045-20GN】(7679378) 粘着クリーンマット　６００Ｘ４５０ＭＭ　グリーン　２０シート入 受注単位1,オフィス住設用品\床材用品\クリーンマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●汚れたフィルムをはがすだけでいつでも清潔な環境にすることができます。<br>●連番タブ付でマットの残数の確認が容易です。<br><br><br>●色：グリーン<br>●幅(mm)：600<br>●長さ(mm)：450<br>●厚み(mm)：1.6<br><br>●1シート：フィルム30枚<br>●フィルム厚み：50μm<br><br>●フィルム：低密度ポリエチレン（LDPE）<br>●粘着剤：水性アクリル乳酸<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【CM6045-20GN】(7679378) 粘着クリーンマット　６００Ｘ４５０ＭＭ　グリーン　２０シート入 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【CM6045-20GN】(7679378) 粘着クリーンマット　６００Ｘ４５０ＭＭ　グリーン　２０シート入 受注単位1,オフィス住設用品\床材用品\クリーンマット。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【CM6045-20GN】(7679378) 粘着クリーンマット　６００Ｘ４５０ＭＭ　グリーン　２０シート入 受注単位1[rn]
16-23274,,13608.0000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒メドライン・ジャパン合同会社/メドライン【M6090W】(4971205) メドライン　マイクロクリーンエコマット　ホワイト　６００×９００ｍｍ 受注単位1,オフィス住設用品\床材用品\クリーンマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●汚れたフィルム1枚1枚をはがすディスポーザブルタイプなので、いつでも清潔な環境にすることができます。<br>●フィルムの角についた連番タグでマットの残りの枚数が確認できます。<br><br><br>●色：ホワイト<br>●幅(mm)：600<br>●長さ(mm)：900<br>●厚み(mm)：1.0<br><br>●1シート：フィルム30枚<br>●フィルム厚み：35±5μm<br><br>●フィルム：中密度ポリエチレン(MPDE)<br>●粘着剤：アクリル系<br>",【カード対応OK！】■〒メドライン・ジャパン合同会社/メドライン【M6090W】(4971205) メドライン　マイクロクリーンエコマット　ホワイト　６００&times;９００ｍｍ 受注単位1：クローバー資材館,【カード対応OK！】■〒メドライン・ジャパン合同会社/メドライン【M6090W】(4971205) メドライン　マイクロクリーンエコマット　ホワイト　６００&times;９００ｍｍ 受注単位1,オフィス住設用品\床材用品\クリーンマット。【カード対応OK！】■〒メドライン・ジャパン合同会社/メドライン【M6090W】(4971205) メドライン　マイクロクリーンエコマット　ホワイト　６００&times;９００ｍｍ 受注単位1[rn]
16-23275,,10980.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）テラモト/テラモト 【MR-123-743-3】(4321057)粘着マットシートＢＳ ６００×１２００ｍｍ 受注単位1,オフィス住設用品\床材用品\クリーンマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●表面の特殊な接着剤で、靴底に付着したチリやホコリの侵入を防ぎます。<br>●汚れたら一枚ずつはがして使う、通し番号入りの除塵粘着シートです。<br>●精密工場・クリーンルーム・食品工場などに。<br>●色:ブルー<br>●幅(mm):600<br>●長さ(mm):1200<br>●厚み(mm):3.5<br>●質量(kg):2.4<br>●シート入数(枚):60<br>●1シート：フィルム60枚<br>●フィルム厚み：58μm<br>●ポリエチレンフィルム<br>●専用マットフレームは別売りです。<br>",『カード対応OK！』■〒（株）テラモト/テラモト 【MR-123-743-3】(4321057)粘着マットシートＢＳ ６００&times;１２００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）テラモト/テラモト 【MR-123-743-3】(4321057)粘着マットシートＢＳ ６００&times;１２００ｍｍ 受注単位1,オフィス住設用品\床材用品\クリーンマット。『カード対応OK！』■〒（株）テラモト/テラモト 【MR-123-743-3】(4321057)粘着マットシートＢＳ ６００&times;１２００ｍｍ 受注単位1[rn]
16-23276,,13494.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒橋本クロス/橋本【NMT-30W】(7538731) ＨＣ粘着マットＮＭＴ－３０Ｗ　６００×９００ｍｍ（１０シート／箱） 受注単位1,オフィス住設用品\床材用品\クリーンマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●エアシャワー内、出入り口に設置し汚れの侵入をストップします。<br>●汚れたら１枚ずつはがして使えるディスポタイプです。<br>●連番タックが付いており枚数管理が簡単です。<br>●裏面粘着タイプで簡単に固定でき、ベースマットが不要です。<br><br>●半導体工場、食品工場。<br>●病院、福祉施設。<br>●クリーンエリアの出入り口。<br><br>●色：ホワイト<br>●幅(mm)：600<br>●長さ(mm)：900<br>●厚み(mm)：1.6<br><br>●1シート：フィルム３０枚<br>●フィルム厚み：50μm<br><br>●フィルム：低密度ポリエチレン(LDPE)<br>●粘着剤：水性アクリル乳酸<br>",『カード対応OK！』■〒橋本クロス/橋本【NMT-30W】(7538731) ＨＣ粘着マットＮＭＴ&minus;３０Ｗ　６００&times;９００ｍｍ（１０シート／箱） 受注単位1：クローバー資材館,『カード対応OK！』■〒橋本クロス/橋本【NMT-30W】(7538731) ＨＣ粘着マットＮＭＴ&minus;３０Ｗ　６００&times;９００ｍｍ（１０シート／箱） 受注単位1,オフィス住設用品\床材用品\クリーンマット。『カード対応OK！』■〒橋本クロス/橋本【NMT-30W】(7538731) ＨＣ粘着マットＮＭＴ&minus;３０Ｗ　６００&times;９００ｍｍ（１０シート／箱） 受注単位1[rn]
16-23277,,12909.6000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【CM6012-10GN】(7679271) 粘着クリーンマット　６００Ｘ１２００ＭＭ　グリーン　１０シート入 受注単位1,オフィス住設用品\床材用品\クリーンマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●汚れたフィルムをはがすだけでいつでも清潔な環境にすることができます。<br>●連番タブ付でマットの残数の確認が容易です。<br><br><br>●色：グリーン<br>●幅(mm)：600<br>●長さ(mm)：1200<br>●厚み(mm)：1.6<br><br>●1シート：フィルム30枚<br>●フィルム厚み：50μm<br><br>●フィルム：低密度ポリエチレン（LDPE）<br>●粘着剤：水性アクリル乳酸<br>",【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【CM6012-10GN】(7679271) 粘着クリーンマット　６００Ｘ１２００ＭＭ　グリーン　１０シート入 受注単位1：クローバー資材館,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【CM6012-10GN】(7679271) 粘着クリーンマット　６００Ｘ１２００ＭＭ　グリーン　１０シート入 受注単位1,オフィス住設用品\床材用品\クリーンマット。【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【CM6012-10GN】(7679271) 粘着クリーンマット　６００Ｘ１２００ＭＭ　グリーン　１０シート入 受注単位1[rn]
16-23278,,640.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【CM6045-1B】(7679335) 粘着クリーンマット　６００Ｘ４５０ＭＭ　ブルー　１シート 受注単位1,オフィス住設用品\床材用品\クリーンマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●汚れたフィルムをはがすだけでいつでも清潔な環境にすることができます。<br>●連番タブ付でマットの残数の確認が容易です。<br><br><br>●色：ブルー<br>●幅(mm)：600<br>●長さ(mm)：450<br>●厚み(mm)：1.6<br><br>●1シート：フィルム30枚<br>●フィルム厚み：50μm<br><br>●フィルム：低密度ポリエチレン（LDPE）<br>●粘着剤：水性アクリル乳酸<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【CM6045-1B】(7679335) 粘着クリーンマット　６００Ｘ４５０ＭＭ　ブルー　１シート 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【CM6045-1B】(7679335) 粘着クリーンマット　６００Ｘ４５０ＭＭ　ブルー　１シート 受注単位1,オフィス住設用品\床材用品\クリーンマット。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【CM6045-1B】(7679335) 粘着クリーンマット　６００Ｘ４５０ＭＭ　ブルー　１シート 受注単位1[rn]
16-23279,,12909.6000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【CM6012-10B】(7679262) 粘着クリーンマット　６００Ｘ１２００ＭＭ　ブルー　１０シート入 受注単位1,オフィス住設用品\床材用品\クリーンマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●汚れたフィルムをはがすだけでいつでも清潔な環境にすることができます。<br>●連番タブ付でマットの残数の確認が容易です。<br><br><br>●色：ブルー<br>●幅(mm)：600<br>●長さ(mm)：1200<br>●厚み(mm)：1.6<br><br>●1シート：フィルム30枚<br>●フィルム厚み：50μm<br><br>●フィルム：低密度ポリエチレン（LDPE）<br>●粘着剤：水性アクリル乳酸<br>",【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【CM6012-10B】(7679262) 粘着クリーンマット　６００Ｘ１２００ＭＭ　ブルー　１０シート入 受注単位1：クローバー資材館,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【CM6012-10B】(7679262) 粘着クリーンマット　６００Ｘ１２００ＭＭ　ブルー　１０シート入 受注単位1,オフィス住設用品\床材用品\クリーンマット。【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【CM6012-10B】(7679262) 粘着クリーンマット　６００Ｘ１２００ＭＭ　ブルー　１０シート入 受注単位1[rn]
16-23280,,10497.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【CM6045-20W】(7679386) 粘着クリーンマット　６００Ｘ４５０ＭＭ　ホワイト　２０シート入 受注単位1,オフィス住設用品\床材用品\クリーンマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●汚れたフィルムをはがすだけでいつでも清潔な環境にすることができます。<br>●連番タブ付でマットの残数の確認が容易です。<br><br><br>●色：ホワイト<br>●幅(mm)：600<br>●長さ(mm)：450<br>●厚み(mm)：1.6<br><br>●1シート：フィルム30枚<br>●フィルム厚み：50μm<br><br>●フィルム：低密度ポリエチレン（LDPE）<br>●粘着剤：水性アクリル乳酸<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【CM6045-20W】(7679386) 粘着クリーンマット　６００Ｘ４５０ＭＭ　ホワイト　２０シート入 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【CM6045-20W】(7679386) 粘着クリーンマット　６００Ｘ４５０ＭＭ　ホワイト　２０シート入 受注単位1,オフィス住設用品\床材用品\クリーンマット。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【CM6045-20W】(7679386) 粘着クリーンマット　６００Ｘ４５０ＭＭ　ホワイト　２０シート入 受注単位1[rn]
16-23281,,932.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）エクシールコーポレーション/エクシール【MAT-CL05】(4732618)ステップマット専用クリーナー５００ＭＬ スプレー容器入り 受注単位1,オフィス住設用品\床材用品\クリーンマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ステップマット、粘着ローラーなどエクシール製粘着ゴミ取りゲルのメンテナンス用のクリーナーです。<br>●汚れが簡単に落とせてゲルへのダメージを最小限に抑え、寿命を延ばします。<br>●容量(ml):500<br>●質量(g):550<br>●スプレーボトル入<br>●アルコール、界面活性剤、天然抗菌剤<br>",『カード対応OK！』■〒（株）エクシールコーポレーション/エクシール【MAT-CL05】(4732618)ステップマット専用クリーナー５００ＭＬ スプレー容器入り 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）エクシールコーポレーション/エクシール【MAT-CL05】(4732618)ステップマット専用クリーナー５００ＭＬ スプレー容器入り 受注単位1,オフィス住設用品\床材用品\クリーンマット。『カード対応OK！』■〒（株）エクシールコーポレーション/エクシール【MAT-CL05】(4732618)ステップマット専用クリーナー５００ＭＬ スプレー容器入り 受注単位1[rn]
16-23282,,9748.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）テラモト/テラモト 【MR-123-740-3】(4321049)粘着マットシートＢＳ ６００×９００ｍｍ 受注単位1,オフィス住設用品\床材用品\クリーンマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●表面の特殊な接着剤で、靴底に付着したチリやホコリの侵入を防ぎます。<br>●汚れたら一枚ずつはがして使う、通し番号入りの除塵粘着シートです。<br>●精密工場・クリーンルーム・食品工場などに。<br>●色:ブルー<br>●幅(mm):600<br>●長さ(mm):900<br>●厚み(mm):3.5<br>●質量(kg):1.8<br>●シート入数(枚):60<br>●1シート：フィルム60枚<br>●フィルム厚み：58μm<br>●抗菌剤入り<br>●ポリエチレンフィルム<br>●専用マットフレームは別売りです。<br>",『カード対応OK！』■〒（株）テラモト/テラモト 【MR-123-740-3】(4321049)粘着マットシートＢＳ ６００&times;９００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）テラモト/テラモト 【MR-123-740-3】(4321049)粘着マットシートＢＳ ６００&times;９００ｍｍ 受注単位1,オフィス住設用品\床材用品\クリーンマット。『カード対応OK！』■〒（株）テラモト/テラモト 【MR-123-740-3】(4321049)粘着マットシートＢＳ ６００&times;９００ｍｍ 受注単位1[rn]
16-23283,,15776.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アイリスオーヤマ/ＩＲＩＳ 資材【LP-2018】(8186855) ＩＲＩＳ ロングパイル人工芝 発注単位1,オフィス住設用品\床材用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●反射防止断面で天然質感の人工芝です。<br>
●カールパイル材質により、ふんわり感が向上しています。<br>
●裏面の排水穴を多く設け排水性がアップしています。<br>
●工事現場の通路など。<br>
●色:グリーン<br>
●幅(mm):1000<br>
●長さ(m):8<br>
●厚み(mm):20<br>
●ポリプロピレン",■〒アイリスオーヤマ/ＩＲＩＳ 資材【LP-2018】(8186855) ＩＲＩＳ ロングパイル人工芝 発注単位1：クローバー資材館,■〒アイリスオーヤマ/ＩＲＩＳ 資材【LP-2018】(8186855) ＩＲＩＳ ロングパイル人工芝 発注単位1,オフィス住設用品\床材用品。■〒アイリスオーヤマ/ＩＲＩＳ 資材【LP-2018】(8186855) ＩＲＩＳ ロングパイル人工芝 発注単位1[rn]
16-23284,,1425.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ マットＫ【TPM0660-W】(8183243) ＴＲＵＳＣＯ ＰＶＣマット 6mm×1730mm 白 発注単位1,オフィス住設用品\床材用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●立ち作業の足元に敷く疲労軽減マットです。<br>
●クッション性に優れた厚みのあるマットです。<br>
●グリップ力にも優れ、棚上の滑り止めとしてもご利用いただけます。<br>
●足元の滑り止め。<br>
●棚上の滑り止め。<br>
●色:白<br>
●幅(mm):610<br>
●長さ(mm):1730<br>
●厚み(mm):6<br>
●ポリ塩化ビニール（PVC）",■〒トラスコ中山/ＴＲＵＳＣＯ マットＫ【TPM0660-W】(8183243) ＴＲＵＳＣＯ ＰＶＣマット 6mm&times;1730mm 白 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ マットＫ【TPM0660-W】(8183243) ＴＲＵＳＣＯ ＰＶＣマット 6mm&times;1730mm 白 発注単位1,オフィス住設用品\床材用品。■〒トラスコ中山/ＴＲＵＳＣＯ マットＫ【TPM0660-W】(8183243) ＴＲＵＳＣＯ ＰＶＣマット 6mm&times;1730mm 白 発注単位1[rn]
16-23285,,51904.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ワタナベ工業/ワタナベ マット【FC-160W】(7945230) ワタナベ ファインコード ＦＣ－160 ダークグレー 182ｃｍ×20ｍ 発注単位1,オフィス住設用品\床材用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ループタイプカーペットです。<br>
●裏面エンボスラバー付でクッション性に富んでいます。<br>
●簡単施工であらゆる場所に対応できます。<br>
●休憩所、工事の事務所、ビルや店舗の床材マットに。(土足対応不可）<br>
●色:ダークグレー<br>
●幅(mm):1820<br>
●長さ(m):20<br>
●厚み(mm):5<br>
●厚み:5mm",■〒ワタナベ工業/ワタナベ マット【FC-160W】(7945230) ワタナベ ファインコード ＦＣ&minus;160 ダークグレー 182ｃｍ&times;20ｍ 発注単位1：クローバー資材館,■〒ワタナベ工業/ワタナベ マット【FC-160W】(7945230) ワタナベ ファインコード ＦＣ&minus;160 ダークグレー 182ｃｍ&times;20ｍ 発注単位1,オフィス住設用品\床材用品。■〒ワタナベ工業/ワタナベ マット【FC-160W】(7945230) ワタナベ ファインコード ＦＣ&minus;160 ダークグレー 182ｃｍ&times;20ｍ 発注単位1[rn]
16-23286,,19008.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒エクシールコーポレーション/エクシール マット【MAT3-4590】(7798768) エクシール ステップマット薄型3mm厚 895×450 ブルーグリーン 発注単位1,オフィス住設用品\床材用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●マットを踏むだけで靴底のゴミ・ホコリを除去できる粘着ゲルマットです。<br>
●水拭きで汚れを落とせば何度も繰り返し使えます。<br>
●柔らかいゲルの弾力と粘着性で靴底の汚れを９９％除去します。<br>
●天然抗菌剤配合で細菌の繁殖を防ぎます。<br>
●クリーンルーム前、エアシャワー内の床などに。<br>
●色:ブルーグリーン<br>
●幅(mm):450<br>
●長さ(mm):895<br>
●厚み(mm):3<br>
●ウレタンエラストマー",■〒エクシールコーポレーション/エクシール マット【MAT3-4590】(7798768) エクシール ステップマット薄型3mm厚 895&times;450 ブルーグリーン 発注単位1：クローバー資材館,■〒エクシールコーポレーション/エクシール マット【MAT3-4590】(7798768) エクシール ステップマット薄型3mm厚 895&times;450 ブルーグリーン 発注単位1,オフィス住設用品\床材用品。■〒エクシールコーポレーション/エクシール マット【MAT3-4590】(7798768) エクシール ステップマット薄型3mm厚 895&times;450 ブルーグリーン 発注単位1[rn]
16-23287,,600.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ミズムジャパン/ＭＩＳＭ【309050016】(7704518) 床保護マット　縁駒Ａ　コーナー付 受注単位1,オフィス住設用品\床材用品\通路マット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ジョイント式で簡単に組み立てることができます。<br>●組み立て後に分解が可能で、繰り返しご使用できます。<br>●重量物によるキズ、汚れから床を守ります。<br>●縁駒を付けることで、より安全・快適に使用できます。<br><br>●倉庫・工場の荷物運搬・搬入口作業場の床保護用マット。<br>●渡り廊下、ロッカールーム、立ち仕事をする作業場などの底冷え防止に最適。<br>●レンタルスペースでイベント・行事・作業などの床保護に最適。<br>●車、バイク、自転車販売店の展示作業スペースに最適。<br>●DIY・趣味などの作業スペースの床面保護に最適。<br><br>●色：黒<br>●幅(mm)：576<br>●厚み(mm)：5<br>●長さ(mm)：76<br>●タイプ：縁駒A（コーナー付）<br><br><br>●塩化ビニール樹脂（PVC）<br>",『カード対応OK！』■〒ミズムジャパン/ＭＩＳＭ【309050016】(7704518) 床保護マット　縁駒Ａ　コーナー付 受注単位1：クローバー資材館,『カード対応OK！』■〒ミズムジャパン/ＭＩＳＭ【309050016】(7704518) 床保護マット　縁駒Ａ　コーナー付 受注単位1,オフィス住設用品\床材用品\通路マット。『カード対応OK！』■〒ミズムジャパン/ＭＩＳＭ【309050016】(7704518) 床保護マット　縁駒Ａ　コーナー付 受注単位1[rn]
16-23288,,34992.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ミヅシマ工業/ミヅシマ 人工芝【4490212】(8183363) ミヅシマ 人工芝ＣＴ7000Ｓブルー 発注単位1,オフィス住設用品\床材用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●養生や一時通路等で多目的に使用可能なポリプロピレン製の人工芝です。<br>
●直毛とは異なるクリンプパイルによる心地よい踏みごこちと、6色のカラー対応により店舗のディスプレイや工場の歩行路にお勧めです。<br>
●工場の歩行路。<br>
●店舗のディスプレイ。<br>
●色:ブルー<br>
●幅(mm):910<br>
●長さ(m):20<br>
●厚み(mm):7<br>
●幅×長さ×パイル長：910mm×20m×7mm<br>
●パイル／ポリプロピレン（クリンプ糸）<br>
●バッキング／ＳＢＲコーティング<br>
●切売り不可",■〒ミヅシマ工業/ミヅシマ 人工芝【4490212】(8183363) ミヅシマ 人工芝ＣＴ7000Ｓブルー 発注単位1：クローバー資材館,■〒ミヅシマ工業/ミヅシマ 人工芝【4490212】(8183363) ミヅシマ 人工芝ＣＴ7000Ｓブルー 発注単位1,オフィス住設用品\床材用品。■〒ミヅシマ工業/ミヅシマ 人工芝【4490212】(8183363) ミヅシマ 人工芝ＣＴ7000Ｓブルー 発注単位1[rn]
16-23289,,38907.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒山崎産業（株）/コンドル 【F-53-1-RS】(4805003)（ジョイント型人工芝）エバック若草ユニットＥ ランナー 受注単位1,オフィス住設用品\床材用品\人工芝,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●若草の柔らかな感触とグリーンを再現。いろいろな場所で使える汎用タイプです。<br>●防炎適合品です。防炎性能登録番号(EO840152)<br>●建築、工事現場の通路、ベランダ、屋上などに。<br>●色:グリーン<br>●幅(mm):900<br>●長さ(m):9<br>●厚み(mm):20<br>●幅(cm)×長さ(M):135×9まで<br>●3kg/[[平米]]<br>●質量(kg):24.3<br>●塩ビ不使用<br>●ＥＶＡ<br>",『カード対応OK！』■〒山崎産業（株）/コンドル 【F-53-1-RS】(4805003)（ジョイント型人工芝）エバック若草ユニットＥ ランナー 受注単位1：クローバー資材館,『カード対応OK！』■〒山崎産業（株）/コンドル 【F-53-1-RS】(4805003)（ジョイント型人工芝）エバック若草ユニットＥ ランナー 受注単位1,オフィス住設用品\床材用品\人工芝。『カード対応OK！』■〒山崎産業（株）/コンドル 【F-53-1-RS】(4805003)（ジョイント型人工芝）エバック若草ユニットＥ ランナー 受注単位1[rn]
16-23290,,129.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ジポン/ジポン 清掃品【10073】(8188893) ジポン 人工芝Ｓ用フチ メス 発注単位1,オフィス住設用品\床材用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●屋上やベランダに。<br>
●人工芝フチ<br>
●色:グリーン<br>
●幅(mm):75<br>
●厚み(mm):16<br>
●長さ(mm):150<br>
●タイプ:メス<br>
●エチレン酢酸ビニル樹脂（ＥＶＡ）<br>
●高温（70℃以上）になるような場所では使用しないでください。",■〒ジポン/ジポン 清掃品【10073】(8188893) ジポン 人工芝Ｓ用フチ メス 発注単位1：クローバー資材館,■〒ジポン/ジポン 清掃品【10073】(8188893) ジポン 人工芝Ｓ用フチ メス 発注単位1,オフィス住設用品\床材用品。■〒ジポン/ジポン 清掃品【10073】(8188893) ジポン 人工芝Ｓ用フチ メス 発注単位1[rn]
